Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4414.53,Zr,2,1.236,0.245
4414.54,V,1,1.849,0.023
4414.89,Mn,1,2.888,0.813
4414.92,Ti,1,2.495,0.096
4414.93,Fe,1,3.884,0.276
4414.97,Fe,1,3.415,0.091
4415.03,V,1,1.86,0.024
4415.06,V,1,2.575,0.025
4415.13,Fe,1,1.608,0.968
4415.47,Si,1,4.954,0.163
4415.56,Sc,2,0.595,0.877
4415.57,Ti,1,2.427,0.187
4416.27,Fe,2,0,0.06
4416.47,V,1,0.2669,0.602
4416.53,Ti,1,1.873,0.031
4416.66,V,1,1.351,0.027
4416.83,Fe,2,2.778,0.838
4416.88,Nd,2,0.559,0.078
4416.9,Ce,2,0.529,0.096
4416.96,Fe,1,4.22,0.188
4417.03,Fe,1,4.593,0.048
4417.27,Ti,1,1.887,0.704
4417.31,Fe,1,3.211,0.107
4417.39,Co,1,3.067,0.228
4417.44,Ti,1,2.408,0.075
4417.57,Sm,2,0.485,0.062
4417.71,Ti,2,1.165,0.898
4417.76,Co,1,2.542,0.054
4418.31,Si,1,5.082,0.379
4418.33,Ti,2,1.237,0.817
4418.42,Fe,1,2.99,0.418
4418.52,Fe,1,4.593,0.032
4418.78,Ce,2,0.864,0.303
4418.95,Fe,1,4.256,0.358
4419.03,Gd,2,0.492,0.08
4419.06,Fe,1,4.607,0.127
4419.09,Fe,1,4.387,0.089
4419.1,Cr,1,3.011,0.03
4419.33,Fe,1,3.635,0.236
4419.61,Er,2,1.683,0.063
4419.66,Pr,2,1.371,0.025
4419.77,Mn,1,4.726,0.127
4419.79,Fe,1,3.301,0.174
4419.84,Fe,1,3.301,0.108
4419.88,Na,1,2.102,0.051
4419.93,V,1,0.275,0.096
4420.12,V,1,0.267,0.056
4420.46,Fe,1,4.549,0.138
4420.47,Os,1,0,0.123
4420.52,Sm,2,0.333,0.186
4420.55,Fe,1,3.301,0.095
4420.67,Sc,2,0.618,0.35
4421.01,Fe,1,4.283,0.021
4421.13,Sm,2,0.378,0.149
4421.22,Pr,2,0.372,0.032
4421.24,Gd,2,1.314,0.03
4421.34,Co,1,2.9275,0.342
4421.45,Ti,1,2.427,0.091
4421.56,V,1,0.275,0.646
4421.75,Ti,1,2.239,0.351
4421.94,Ti,2,2.061,0.697
4422.15,Cr,1,3.556,0.022
4422.43,Ni,1,3.306,0.081
4422.57,Fe,1,2.845,0.896
4422.59,Y,2,0.104,0.77
4422.61,Mn,1,4.354,0.054
4422.69,Cr,1,3.556,0.403
4422.82,Ti,1,1.067,0.589
4422.85,Ni,1,4.088,0.089
4422.99,Ni,1,3.679,0.349
4423.14,Fe,1,2.9904,0.674
4423.21,V,1,1.081,0.144
4423.24,Ti,2,1.231,0.624
4423.24,Fe,1,4.415,0.074
4423.25,Na,1,2.104,0.09
4423.31,Cr,1,3.013,0.091
4423.59,Cr,1,3.857,0.184
4423.67,Ce,2,1.058,0.065
4423.84,Fe,1,3.654,0.763
4423.91,V,1,2.638,0.032
4424.07,Fe,1,3.642,0.483
4424.07,Cr,1,2.915,0.365
4424.19,Fe,1,3.547,0.721
4424.28,Cr,1,3.011,0.686
4424.34,Sm,2,0.485,0.389
4424.38,Ti,1,2.427,0.142
4424.49,Cr,1,2.987,0.085
4424.63,V,2,1.805,0.394
4425.13,Cr,1,3.104,0.053
4425.44,Ca,1,1.879,0.893
4425.49,Si,1,4.954,0.203
4425.63,Fe,1,4.26,0.048
4425.66,Fe,1,3.573,0.399
4425.75,Fe,1,3.266,0.272
4425.82,Ti,1,1.067,0.232
4426,V,1,0.287,0.549
4426.05,Ti,1,1.879,0.551
4426.65,Cr,1,5.239,0.041
4426.66,Cr,1,2.987,0.058
4426.82,Nd,2,0.182,0.025
4426.92,S,1,6.86,0.08
4427.07,Ce,2,0.417,0.115
4427.1,Ti,1,1.5024,0.818
4427.13,Ti,1,1.067,0.031
4427.25,V,1,2.678,0.088
4427.3,Fe,1,3.654,0.838
4427.31,Fe,1,0.0516,0.963
4427.56,La,2,1.782,0.041
4427.58,Sm,2,0.248,0.038
4427.88,Ti,2,1.243,0.303
4427.92,Ce,2,0.536,0.14
4428.44,Ce,2,0.529,0.049
4428.5,Cr,1,3.013,0.384
4428.5,V,1,0.267,0.474
4428.57,Fe,1,3.943,0.033
4429.13,Pr,2,0,0.155
4429.14,S,1,6.86,0.088
4429.19,Fe,1,3.929,0.495
4429.25,Fe,1,3.654,0.129
4429.25,Pr,2,0.372,0.161
4429.27,Ce,2,1.088,0.231
4429.3,Fe,1,3.943,0.069
4429.35,Zr,2,1.773,0.046
4429.77,Fe,1,2.588,0.085
4429.79,V,1,0.301,0.144
4429.9,La,2,0.235,0.07
4429.92,Cr,1,3.556,0.261
4430,Fe,1,3.882,0.255
4430.02,Ti,1,2.408,0.186
4430.02,Fe,1,4.913,0.087
4430.19,Fe,1,3.017,0.834
4430.36,Ti,1,1.443,0.514
4430.39,Cr,1,2.915,0.164
4430.47,Cr,1,3.556,0.263
4430.47,Si,1,4.954,0.205
4430.5,V,1,1.893,0.03
4430.61,Fe,1,2.2227,0.916
4430.76,Fe,1,4.608,0.028
4431.03,Ni,1,4.167,0.37
4431.28,Ti,1,2.231,0.149
4431.35,Sc,2,0.605,0.538
4431.37,Fe,1,4.58,0.025
4431.43,S,1,6.86,0.088
4431.6,Co,1,2.877,0.129
4431.69,Si,1,4.93,0.263
4432.05,Fe,1,4.371,0.059
4432.05,Ti,1,2.267,0.055
4432.11,Ti,2,1.237,0.548
4432.13,Fe,1,4.076,0.329
4432.17,Cr,1,2.872,0.423
4432.29,Nd,2,0.742,0.024
4432.57,Fe,1,3.573,0.779
4432.59,Ti,1,2.408,0.169
4432.76,Cr,1,5.255,0.088
4432.8,Fe,1,3.017,0.036
4432.95,La,2,0.244,0.028
4433.22,Fe,1,3.654,0.86
4433.27,Fe,1,3.018,0.293
4433.39,Fe,1,3.018,0.247
4433.57,Ti,1,2.396,0.197
4433.77,Ca,1,2.933,0.021
4433.78,Fe,1,3.6025,0.829
4433.82,Ni,1,4.236,0.061
4433.89,Sm,2,0.434,0.242
4433.95,Cr,1,3.013,0.029
4433.97,Ti,1,1.43,0.198
4433.99,Mg,2,9.999,0.026
4434.02,Ti,1,1.873,0.093
4434.32,Sm,2,0.378,0.333
4434.37,Ti,1,2.396,0.158
4434.59,V,1,1.931,0.094
4434.68,Si,1,4.92,0.1
4434.96,Ca,1,1.886,0.91
4434.98,Fe,1,4.301,0.47
4435.15,Fe,1,0.0873,0.911
4435.34,Ni,1,3.658,0.099
4435.58,Eu,2,0.207,0.453
4435.68,Ca,1,1.8858,0.902
4436.13,V,1,0.2619,0.545
4436.19,Fe,1,4.191,0.082
4436.21,Ce,2,0.9,0.025
4436.21,Gd,2,1.727,0.025
4436.34,Mn,1,4.827,0.162
4436.36,Mn,1,2.92,0.807
4436.42,Cr,1,3.321,0.08
4436.43,Co,1,1.71,0.085
4436.59,Ti,1,1.879,0.309
4436.67,Ti,1,2.427,0.126
4436.78,Fe,1,4.209,0.051
4436.92,Fe,1,3.047,0.785
4436.97,Ni,1,3.498,0.537
4437.08,Fe,1,4.549,0.022
4437.16,Fe,1,4.283,0.298
4437.56,Ni,1,3.679,0.541
4437.68,Fe,1,2.692,0.258
4437.83,V,1,0.287,0.695
4438.16,Cr,1,3.322,0.054
4438.22,Ti,1,2.25,0.106
4438.25,Gd,2,0.662,0.043
4438.34,Fe,1,3.686,0.751
4438.52,Fe,1,3.882,0.602
4438.63,Fe,1,4.283,0.024
4438.81,Fe,1,4.284,0.021
4438.99,V,1,2.365,0.031
4438.99,Nd,2,0.182,0.071
4439.13,Fe,2,2.692,0.041
4439.24,Ce,2,1.366,0.026
4439.27,Cr,1,3.323,0.034
4439.63,Fe,1,3.047,0.511
4439.88,Fe,1,2.2786,0.797
4440.1,Fe,1,4.256,0.096
4440.12,Mn,1,4.66,0.038
4440.22,Cr,1,3.113,0.033
4440.45,Zr,2,1.208,0.27
4440.48,Fe,1,3.602,0.633
4440.82,Fe,1,3.96,0.68
4440.96,Co,1,3.713,0.023
4440.97,Fe,1,3.301,0.257
4441,Cr,1,3.122,0.024
4441,Fe,1,4.22,0.651
4441.27,Ti,1,1.873,0.291
4441.44,Ni,1,3.306,0.224
4441.54,Fe,1,4.283,0.562
4441.55,Fe,1,3.884,0.613
4441.67,V,1,0.275,0.705
4441.73,Ti,2,1.18,0.762
4441.81,Fe,1,4.446,0.062
4441.94,Co,1,0.923,0.066
4442.27,Cr,1,3,0.258
4442.34,Fe,1,2.1979,0.937
4442.42,Ni,1,3.498,0.697
4442.43,Fe,1,4.435,0.109
4442.49,Zr,2,0.999,0.076
4442.83,Fe,1,2.1759,0.836
4442.99,Zr,2,1.486,0.465
4443.15,Ti,1,2.396,0.029
4443.16,Fe,1,3.415,0.254
4443.19,Fe,1,2.858,0.898
4443.2,Fe,1,3.071,0.811
4443.34,V,1,2.684,0.088
4443.68,Si,1,5.082,0.129
4443.71,Cr,1,3.556,0.177
4443.75,Ce,2,0.674,0.083
4443.79,Ti,2,1.08,0.928
4443.88,Fe,1,4.549,0.46
4444.12,Si,1,4.954,0.164
4444.21,V,1,0.2669,0.596
4444.26,Ti,1,2.239,0.095
4444.27,Sm,2,0.544,0.114
4444.39,Ce,2,0.924,0.14
4444.54,Fe,2,6.219,0.022
4444.55,Ni,1,3.306,0.026
4444.55,Ti,2,1.116,0.793
4444.62,Fe,1,4.143,0.303
4444.7,Ce,2,1.058,0.163
4445.04,Co,1,3.568,0.086
4445.47,Fe,1,0.0873,0.774
4445.71,Co,1,3.105,0.127
4445.9,Zr,2,1.665,0.069
4446.24,Fe,2,5.956,0.03
4446.27,Fe,1,4.559,0.156
4446.38,Nd,2,0.205,0.424
4446.48,Fe,1,3.603,0.024
4446.68,Fe,1,4.283,0.039
4446.83,Fe,1,3.6864,0.794
4446.9,Fe,1,3.301,0.574
4447.13,Fe,1,2.198,0.826
4447.25,Fe,1,4.256,0.495
4447.25,Co,2,3.459,0.021
4447.26,Ce,2,0.812,0.03
4447.63,Fe,1,3.252,0.064
4447.72,Fe,1,2.2227,0.931
4447.8,Fe,1,4.22,0.725
4448.18,Fe,1,3.929,0.087
4448.68,Co,1,3.775,0.031
4448.79,Si,1,4.93,0.04
4449.14,Ti,1,1.887,0.789
4449.32,Fe,1,3.64,0.06
4449.33,Ce,2,0.609,0.33
4449.42,Fe,1,4.559,0.203
4449.56,Fe,1,2.559,0.084
4449.57,V,1,1.351,0.074
4449.7,Dy,2,0,0.183
4449.82,Pr,2,0.204,0.094
4449.9,Si,1,4.93,0.082
4449.97,Ti,1,1.879,0.055
4450.09,Ni,1,3.941,0.156
4450.32,Fe,1,3.111,0.794
4450.32,Fe,1,2.279,0.06
4450.48,Ti,2,1.084,0.878
4450.73,Ce,2,0.684,0.178
4450.77,Fe,1,3.881,0.405
4450.89,Ti,1,1.8792,0.756
4450.9,V,1,2.365,0.043
4451.55,Fe,2,6.138,0.114
4451.56,Nd,2,0.38,0.572
4451.59,Mn,1,2.8885,0.851
4451.98,Nd,2,0,0.161
4452.01,V,1,1.868,0.543
4452.1,Fe,2,0.107,0.033
4452.15,Co,1,0.432,0.026
4452.22,Cr,1,2.915,0.049
4452.31,Fe,1,3.642,0.024
4452.52,Mn,1,4.608,0.084
4452.61,Fe,1,3.943,0.535
4452.72,Sm,2,0.277,0.219
4452.8,Fe,1,2.588,0.131
4452.91,Ni,1,3.941,0.023
4453.01,Mn,1,2.9409,0.76
4453.04,Ti,1,2.408,0.025
4453.12,V,1,1.955,0.021
4453.16,Ce,2,0.587,0.037
4453.29,Fe,1,3.283,0.269
4453.31,Ti,1,1.43,0.805
4453.32,Fe,1,3.96,0.703
4453.6,Fe,1,4.549,0.024
4453.71,Ti,1,1.8732,0.722
4453.81,Fe,1,3.884,0.037
4453.85,Ti,1,2.408,0.064
4453.85,Fe,1,3.929,0.076
4454.38,Fe,1,2.8316,0.892
4454.63,Sm,2,0.544,0.198
4454.67,Fe,1,3.635,0.206
4454.78,Ca,1,1.899,0.92
4454.79,Zr,2,0.802,0.409
4454.92,Fe,1,4.473,0.024
4454.98,Ce,2,0.553,0.143
4455.01,Mn,1,3.0722,0.751
4455.03,Fe,1,3.8816,0.822
4455.27,Fe,2,6.226,0.085
4455.3,Ni,1,3.699,0.024
4455.31,Mn,1,3.0722,0.778
4455.32,Ti,1,1.4432,0.847
4455.4,Fe,1,3.96,0.042
4455.62,Fe,1,4.559,0.048
4455.79,La,2,0.709,0.036
4455.81,Mn,1,3.072,0.739
4455.89,Ca,1,1.899,0.88
4456.33,Fe,1,3.047,0.775
4456.39,Nd,2,0.742,0.207
4456.41,Fe,1,4.607,0.065
4456.61,Ca,1,1.8989,0.767
4456.62,Mn,1,2.92,0.036
4456.63,Fe,1,3.8816,0.72
4456.64,Fe,1,3.943,0.088
4456.65,Ti,2,3.124,0.224
4457.04,Mn,1,3.0733,0.709
4457.41,Zr,2,1.184,0.206
4457.43,Ti,1,1.46,0.828
4457.46,V,1,0.275,0.569
4457.55,Mn,1,3.073,0.805
4457.62,Cr,1,3.375,0.023
4457.7,Fe,1,4.446,0.029
4457.76,V,1,1.873,0.198
4457.86,Cr,1,3.878,0.03
4458.08,Fe,1,3.884,0.803
4458.25,Mn,1,3.073,0.822
4458.51,Cr,1,3.551,0.595
4458.51,Sm,2,0.104,0.186
4458.54,Cr,1,3.011,0.464
4458.59,Co,1,3.568,0.07
4459.03,Ni,1,3.306,0.853
4459.12,Fe,1,2.1759,0.936
4459.35,Fe,1,4.178,0.797
4459.37,Cr,1,2.708,0.439
4459.73,Cr,1,3.013,0.557
4459.75,V,1,0.287,0.755
4459.86,Fe,1,2.728,0.084
4460.03,Ru,1,1.087,0.03
4460.12,Fe,1,2.759,0.021
4460.19,Fe,1,3.695,0.233
4460.21,Ce,2,0.478,0.548
4460.29,V,1,0.3007,0.796
4460.37,Mn,1,3.075,0.53
4460.44,Cr,1,4.099,0.076
4460.54,Fe,1,4.22,0.042
4460.68,Fe,1,4.607,0.295
4460.77,Cr,1,2.709,0.254
4460.98,V,1,2.359,0.047
4461.08,Mn,1,3.075,0.766
4461.13,Ce,2,0.91,0.11
4461.2,Fe,1,3.0173,0.775
4461.22,Zr,2,1.011,0.326
4461.31,Cr,1,3.122,0.039
4461.37,Fe,1,3.415,0.596
4461.44,Fe,2,2.583,0.386
4461.65,Fe,1,0.0873,0.959
4461.71,Fe,2,6.226,0.076
4461.97,Fe,1,3.602,0.821
4461.97,Fe,1,3.64,0.348
4461.99,Fe,1,3.071,0.756
4462.03,Mn,1,3.075,0.846
4462.04,Fe,1,4.283,0.547
4462.06,Cr,1,3.89,0.053
4462.09,Ti,1,0,0.12
4462.2,Fe,1,3.603,0.423
4462.38,V,1,1.86,0.462
4462.41,Nd,2,0.205,0.157
4462.45,Ni,1,3.465,0.803
4462.74,Ti,1,2.427,0.047
4462.77,Cr,1,3.01,0.218
4462.98,Nd,2,0.559,0.442
4463.13,Fe,1,3.0713,0.454
4463.38,Ti,1,1.879,0.492
4463.4,Fe,1,4.256,0.674
4463.41,Ce,2,0.957,0.181
4463.42,Ni,1,3.48,0.454
4463.54,Ti,1,1.887,0.31
4464.17,Ti,1,3.108,0.276
4464.45,Ti,2,1.161,0.842
4464.66,Cr,1,3.011,0.194
4464.68,Mn,1,2.92,0.824
4464.69,Fe,1,3.241,0.567
4464.7,Fe,1,4.256,0.026
4464.7,Ce,2,1.026,0.063
4464.74,Ti,1,2.396,0.023
4464.77,Fe,1,3.017,0.804
4464.9,Cr,1,3.011,0.215
4464.97,Fe,1,3.642,0.13
4464.99,Fe,1,4.209,0.025
4465.06,Nd,2,0,0.096
4465.13,Cr,1,3.892,0.335
4465.35,Cr,1,3.013,0.409
4465.36,Fe,1,3.018,0.043
4465.37,Fe,1,3.635,0.072
4465.44,Ce,2,0.876,0.029
4465.59,Nd,2,0.182,0.113
4465.73,Cr,2,6.487,0.027
4465.81,Ti,1,1.7393,0.67
4465.82,Co,1,3.687,0.046
4465.89,Fe,1,4.301,0.487
4466.16,Cr,1,3.013,0.091
4466.38,Ni,1,3.706,0.441
4466.53,Gd,2,0.522,0.059
4466.55,Fe,1,2.8316,0.911
4466.57,Fe,1,0.1101,0.918
4466.65,Fe,1,2.559,0.033
4466.88,Co,1,3.016,0.443
4466.94,Fe,1,3.9286,0.748
4467.34,Sm,2,0.659,0.303
4467.43,Fe,1,4.143,0.119
4467.53,Ce,2,1.088,0.082
4467.56,Ce,2,0.561,0.038
4467.56,Cr,1,3.013,0.231
4467.85,Fe,1,4.608,0.065
4468,V,1,1.849,0.149
4468.14,Dy,2,0.103,0.044
4468.33,Fe,1,4.313,0.044
4468.43,Ni,1,4.154,0.136
4468.51,Ti,2,1.131,0.929
4468.66,Pr,2,0.216,0.117
4468.75,V,1,1.873,0.067
4469,Fe,1,4.608,0.281
4469.14,Ti,2,1.084,0.781
4469.25,Nd,2,0.742,0.089
4469.37,Fe,1,3.654,0.873
4469.54,Co,1,2.958,0.595
4469.69,Fe,1,4.559,0.317
4469.71,V,1,1.853,0.376
4469.91,Fe,1,4.652,0.226
4470.08,Ni,1,3.699,0.13
4470.14,Mn,1,2.9409,0.767
4470.2,Fe,1,3.071,0.114
4470.47,Fe,1,4.607,0.047
4470.47,Ni,1,3.399,0.833
4470.52,Fe,1,4.415,0.043
4470.85,Ti,2,1.165,0.816
4470.98,Nd,2,0.631,0.036
4471.02,Fe,1,4.608,0.051
4471.05,Co,1,3.687,0.03
4471.23,Ti,1,1.7336,0.696
4471.24,Ce,2,0.696,0.37
4471.31,Co,1,3.576,0.078
4471.4,Nd,2,0,0.088
4471.54,Co,1,3.067,0.178
4471.62,Fe,1,3.984,0.142
4471.68,Fe,1,0.11,0.368
4471.7,Fe,1,4.607,0.151
4471.8,Fe,1,3.943,0.086
4472.05,Ca,2,6.468,0.146
4472.41,Sm,2,0.185,0.086
4472.52,Fe,1,1.485,0.12
4472.6,Ce,2,0.956,0.025
4472.7,Fe,1,3.64,0.649
4472.72,Ce,2,0.446,0.114
4472.72,Fe,1,3.267,0.242
4472.74,Fe,1,4.608,0.026
4472.81,Mn,1,2.953,0.75
4472.9,Fe,1,2.559,0.129
4472.93,Fe,2,2.844,0.655
4472.97,Fe,1,2.882,0.207
4473.01,Sm,2,0.277,0.136
4473.77,Ce,2,1.482,0.021
4473.83,Cr,1,2.708,0.198
4474.04,V,1,1.955,0.191
4474.14,Fe,1,4.256,0.354
4474.45,Fe,1,4.313,0.123
4474.71,V,1,1.893,0.108
4474.77,V,1,1.868,0.231
4474.81,Ti,1,2.103,0.044
4474.85,Ti,1,1.443,0.478
4475.17,Ti,1,2.092,0.037
4475.3,Cr,1,2.889,0.166
4475.38,Cr,1,4.106,0.223
4475.5,Ti,1,2.117,0.03
4475.53,Fe,1,4.301,0.029
4475.58,Nd,2,0.064,0.033
4475.88,V,1,1.853,0.033
4475.89,Fe,1,4.58,0.021
4476.02,Fe,1,2.845,0.909
4476.08,Fe,1,3.686,0.889
4476.12,Cr,1,5.282,0.021
4476.52,Fe,1,4.186,0.029
4476.6,Ti,1,2.085,0.026
4476.88,Fe,1,4.58,0.033
4477.06,Cr,1,2.71,0.17
4477.11,Fe,1,4.58,0.045
4477.26,Pr,2,0.204,0.033
4477.29,Co,1,3.775,0.026
4477.45,Nd,2,0.38,0.052
4478.02,Fe,1,2.198,0.402
4478.05,Fe,1,4.58,0.076
4478.31,Co,1,3.105,0.174
4478.64,Mn,2,6.645,0.024
4478.66,Sm,2,0.659,0.115
4478.77,Sm,2,0.659,0.059
4478.81,Gd,2,0.6,0.052
4478.99,Fe,1,3.96,0.146
4479.11,Fe,1,4.638,0.067
4479.23,Ce,2,0.96,0.034
4479.36,Ce,2,0.561,0.125
4479.38,Fe,1,4.387,0.074
4479.39,Mn,1,5.112,0.118
4479.42,Ce,2,0.417,0.053
4479.43,Ca,2,6.468,0.083
4479.6,Fe,1,3.634,0.71
4479.62,Fe,1,3.686,0.75
4479.7,Ti,1,1.734,0.494
4479.7,Fe,1,2.876,0.176
4479.89,Co,1,3.713,0.031
4479.96,Fe,1,3.9841,0.725
4480.04,V,1,1.86,0.073
4480.14,Fe,1,3.0469,0.821
4480.26,Cr,1,3.368,0.183
4480.27,Fe,1,3.603,0.428
4480.35,Cu,1,3.786,0.039
4480.36,Cr,1,3.551,0.11
4480.46,Fe,1,4.608,0.074
4480.56,Ni,1,3.898,0.284
4480.59,Ti,1,1.739,0.604
4480.69,Fe,2,6.226,0.026
4480.83,Fe,1,2.9756,0.608
4481.05,Gd,2,0.602,0.059
4481.13,Mg,2,8.864,0.569
4481.15,Mg,2,8.864,0.223
4481.26,Ti,1,1.7489,0.747
4481.33,Mg,2,8.864,0.537
4481.61,Fe,1,3.686,0.783
4481.68,Fe,1,2.692,0.1
4482.08,Cr,1,4.446,0.092
4482.17,Fe,1,0.11,0.941
4482.25,Fe,1,2.223,0.913
4482.61,Ce,2,1.456,0.027
4482.69,Ti,1,1.46,0.408
4482.74,Fe,1,3.654,0.797
4482.87,Cr,1,3.369,0.407
4482.92,Fe,1,4.584,0.029
4483.15,Fe,1,4.652,0.131
4483.33,Gd,2,1.06,0.041
4483.46,Ca,1,4.68,0.022
4483.59,Co,1,3.576,0.115
4483.77,Fe,1,3.642,0.389
4483.89,Ce,2,0.864,0.241
4483.91,Fe,1,4.584,0.057
4483.92,Co,1,3.128,0.147
4484.17,Fe,1,4.652,0.222
4484.22,Fe,1,3.602,0.848
4484.48,Ni,1,3.597,0.059
4484.5,Co,1,0.923,0.088
4484.55,Ti,1,2.154,0.084
4484.57,Cr,1,3.087,0.206
4484.69,Cr,1,3.079,0.116
4484.82,Ce,2,1.123,0.061
4485.08,Ti,1,2.085,0.055
4485.08,Fe,1,4.584,0.069
4485.44,Zr,2,1.236,0.041
4485.52,Ce,2,0.977,0.054
4485.67,Fe,1,2.609,0.15
4485.68,Fe,1,3.686,0.827
4485.72,Fe,1,4.584,0.058
4485.94,Nd,2,0.38,0.037
4485.97,Fe,1,3.654,0.451
4486.91,Ce,2,0.295,0.313
4487.01,Fe,1,3.929,0.545
4487.25,Fe,1,4.549,0.57
4487.36,Fe,1,3.603,0.597
4487.5,Cr,1,2.709,0.105
4487.69,Si,1,4.954,0.091
4487.74,Fe,1,3.237,0.223
4487.82,Cr,1,3.889,0.074
4488.05,Cr,1,4.207,0.35
4488.05,Cr,1,2.987,0.203
4488.13,Fe,1,3.602,0.745
4488.25,Ti,1,2.092,0.066
4488.32,Ti,2,3.124,0.708
4488.82,Si,1,4.954,0.15
4488.89,V,1,1.849,0.219
4488.91,Fe,1,3.654,0.324
4488.92,V,1,1.945,0.022
4488.92,Fe,1,2.559,0.107
4488.93,Fe,1,3.984,0.034
4488.95,V,1,2.678,0.03
4489.09,Ti,1,1.739,0.72
4489.1,Cr,2,4.012,0.066
4489.18,Ca,2,8.438,0.052
4489.18,Ca,2,8.438,0.042
4489.18,Fe,2,2.828,0.782
4489.33,Fe,1,4.559,0.026
4489.33,Cr,1,2.71,0.153
4489.46,Cr,1,3.556,0.527
4489.74,Fe,1,0.1213,0.931
4489.9,V,1,1.804,0.026
4490.05,Ni,1,3.542,0.171
4490.08,Fe,1,3.0173,0.859
4490.09,Mn,1,2.953,0.761
4490.1,Co,1,3.568,0.023
4490.23,Fe,1,2.882,0.123
4490.5,Fe,1,2.588,0.083
4490.53,Ni,1,4.167,0.035
4490.53,Ni,1,3.542,0.407
4490.54,Cr,1,3.89,0.4
4490.68,Ti,1,2.16,0.093
4490.72,Mn,1,2.941,0.023
4490.76,Fe,1,3.943,0.795
4490.81,V,1,1.853,0.093
4490.81,Fe,1,3.943,0.62
4491.17,V,1,1.376,0.029
4491.4,Fe,2,2.856,0.805
4491.63,Nd,2,0.321,0.027
4491.65,Mn,1,5.087,0.215
4491.66,Cr,1,2.9,0.4
4491.85,Cr,1,2.987,0.226
4492.31,Cr,1,3.375,0.504
4492.32,Ni,1,3.543,0.022
4492.45,Fe,1,4.371,0.168
4492.53,Ti,1,2.103,0.085
4492.68,Fe,1,3.9841,0.627
4493.37,Fe,1,3.573,0.161
4493.4,Nd,2,0.559,0.066
4493.51,Ti,2,1.08,0.513
4493.9,Fe,1,3.884,0.074
4494.05,Fe,1,3.9841,0.653
4494.18,Na,1,2.102,0.34
4494.22,Ce,2,0.792,0.076
4494.42,Zr,2,2.409,0.088
4494.47,Fe,1,2.949,0.464
4494.57,Fe,1,2.1979,0.939
4494.75,Co,1,3.53,0.112
4495.29,Cr,1,4.106,0.171
4495.38,Fe,1,3.929,0.078
4495.38,Ce,2,0.621,0.07
4495.39,Fe,1,2.885,0.292
4495.43,Fe,1,3.882,0.092
4495.45,Zr,2,1.208,0.063
4495.45,Ti,2,1.18,0.184
4495.5,Ti,1,2.16,0.028
4495.57,Fe,1,3.6025,0.531
4495.95,Fe,1,3.654,0.732
4496.06,V,1,1.95,0.13
4496.15,Ti,1,1.7489,0.697
4496.17,Ca,1,2.933,0.053
4496.21,Ce,2,1.09,0.037
4496.23,Ti,1,0.021,0.291
4496.26,Ce,2,1.042,0.027
4496.27,Fe,1,2.588,0.174
4496.43,Si,1,5.082,0.29
4496.46,Pr,2,0.055,0.139
4496.63,Mn,1,4.64,0.051
4496.77,Ti,1,2.092,0.027
4496.84,V,1,1.853,0.066
4496.85,Cr,1,0.941,0.885
4496.96,Zr,2,0.713,0.623
4497.26,Nd,2,0.471,0.034
4497.38,V,1,2.684,0.022
4497.43,Co,2,3.406,0.033
4497.58,Fe,1,4.608,0.184
4497.66,Na,1,2.104,0.093
4497.66,Na,1,2.104,0.482
4497.72,Ti,1,2.117,0.125
4497.85,Ce,2,0.957,0.079
4497.91,Nd,2,0.559,0.068
4498.29,Gd,2,0.427,0.035
4498.54,Fe,1,3.884,0.065
4498.59,Fe,1,2.865,0.058
4498.72,Cr,1,2.915,0.453
4498.81,Fe,1,4.294,0.025
4498.86,Ni,1,3.606,0.081
4498.9,Mn,1,2.9409,0.781
4498.96,Cr,1,3.079,0.033
4499.14,Fe,1,4.549,0.329
4499.37,Fe,1,4.593,0.071
4499.47,Sm,2,0.248,0.089
4499.93,Fe,1,4.593,0.053
4500.28,Cr,1,3.079,0.545
4500.35,Ti,2,1.084,0.328
4500.55,Co,1,3.713,0.042
4500.64,Fe,1,4.559,0.091
4501.08,Cr,1,3.556,0.435
4501.1,Cr,1,2.915,0.354
4501.27,Ti,2,1.116,0.92
4501.64,Cr,1,3.556,0.092
4501.67,Ni,1,3.699,0.081
4501.77,Cr,1,2.915,0.386
4501.81,Nd,2,0.205,0.239
4501.96,V,1,1.376,0.109
4502.21,Mn,1,2.92,0.793
4502.59,Fe,1,3.573,0.498
4503.76,Ti,1,2.134,0.181
4503.8,Mn,1,4.666,0.066
4503.87,Mn,1,4.64,0.113
4504.21,Fe,1,3.96,0.079
4504.83,Fe,1,3.266,0.684
4505.04,Sm,2,0.248,0.032
4505.33,Cr,1,3.104,0.211
4505.49,Ti,1,3.111,0.224
4505.71,Ti,1,2.103,0.038
4505.93,Si,1,4.954,0.056
4505.94,Y,1,1.374,0.028
4506.08,Cr,1,3.888,0.073
4506.28,Cr,1,3.092,0.025
4506.3,Ni,1,3.542,0.103
4506.34,Gd,2,0.499,0.04
4506.58,Nd,2,0.064,0.159
4506.74,Ti,2,1.131,0.234
4506.84,Cr,1,4.186,0.272
4507.04,Fe,1,4.638,0.094
4507.11,Zr,1,0.543,0.093
4507.2,Cr,2,3.105,0.031
4507.22,Fe,1,3.111,0.123
4507.45,Fe,1,4.415,0.108
4507.93,Cr,1,3.889,0.159
4508.1,Ni,1,3.543,0.033
