Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4216.18,Fe,1,0,0.966
4216.36,Cr,1,3.013,0.345
4216.47,Fe,1,4.313,0.772
4216.6,Fe,1,4.191,0.289
4216.79,Fe,1,4.435,0.293
4216.81,Fe,1,4.371,0.158
4217.06,Cr,2,3.105,0.151
4217.19,Gd,2,0.662,0.108
4217.27,Nd,2,0.38,0.044
4217.32,Ti,2,2.061,0.021
4217.54,La,2,1.946,0.041
4217.55,Fe,1,3.4302,0.908
4217.59,Ce,2,1.058,0.108
4217.61,Cr,1,3.011,0.172
4218.12,Fe,1,0.99,0.139
4218.17,Ti,2,1.116,0.039
4218.2,Fe,1,2.433,0.512
4218.7,V,1,0.301,0.06
4218.94,Fe,1,4.435,0.123
4219.11,Fe,1,3.368,0.677
4219.36,Fe,1,3.573,0.921
4219.41,Fe,1,2.99,0.843
4219.59,Fe,1,3.547,0.385
4219.95,Fe,1,4.415,0.344
4220.05,Fe,1,3.9286,0.715
4220.07,V,2,1.675,0.067
4220.15,Sm,2,0.434,0.03
4220.25,Nd,2,0.321,0.159
4220.27,Co,1,2.874,0.028
4220.34,Fe,1,3.0713,0.882
4220.44,Cr,1,2.967,0.102
4220.61,Mn,1,4.194,0.228
4220.66,Sm,2,0.544,0.132
4221.13,Nd,2,0.559,0.056
4221.39,Fe,1,4.446,0.159
4221.57,Cr,1,3.85,0.29
4221.68,Ni,1,3.3062,0.219
4221.79,Ni,1,3.841,0.028
4221.83,Mn,1,4.685,0.028
4222.21,Fe,1,2.4496,0.944
4222.35,Fe,1,2.588,0.055
4222.38,Zr,2,1.208,0.354
4222.6,Ce,2,0.122,0.592
4222.62,Ca,1,4.624,0.033
4222.73,Cr,1,3.013,0.377
4222.93,Pr,2,0.055,0.313
4223.2,Nd,2,0.38,0.05
4223.23,Fe,1,2.453,0.17
4223.26,Cr,1,4.855,0.03
4223.34,Fe,1,4.301,0.281
4223.45,Cr,1,3.013,0.048
4223.71,Sm,2,0.333,0.032
4223.73,Fe,1,2.9488,0.578
4223.78,Ni,1,3.847,0.178
4224.09,Cr,2,3.858,0.026
4224.13,V,1,1.95,0.054
4224.17,Fe,1,3.3683,0.914
4224.26,Zr,2,0.758,0.131
4224.29,Fe,1,4.103,0.094
4224.3,Fe,1,4.283,0.398
4224.51,Fe,1,3.4302,0.871
4224.52,Cr,1,3.087,0.45
4224.52,V,2,1.686,0.073
4224.63,Fe,1,2.759,0.518
4224.78,Ti,1,2.778,0.237
4224.84,Nd,2,0.631,0.073
4224.86,Cr,2,5.33,0.194
4225.14,Gd,2,0.6,0.034
4225.21,V,2,2.026,0.368
4225.32,Pr,2,0,0.348
4225.32,Sm,2,0.188,0.174
4225.35,Sm,2,0,0.094
4225.45,Fe,1,3.417,0.906
4225.66,Fe,1,3.415,0.338
4225.71,Fe,1,4.22,0.636
4225.96,Fe,1,3.047,0.877
4226.34,Fe,1,2.453,0.459
4226.4,Ni,1,4.105,0.35
4226.42,Fe,1,2.845,0.885
4226.48,Tb,2,0,0.056
4226.56,Ge,1,2.029,0.492
4226.6,Fe,1,4.154,0.06
4226.62,V,1,1.945,0.066
4226.73,Ca,1,0,0.978
4226.75,Cr,1,2.967,0.169
4227.14,Gd,2,0.602,0.037
4227.17,Fe,2,2.891,0.214
4227.3,Fe,1,4.371,0.703
4227.3,Fe,1,4.191,0.117
4227.33,Ti,2,1.131,0.812
4227.37,Fe,1,4.154,0.2
4227.42,Ce,2,0.808,0.029
4227.42,Fe,1,3.3321,0.89
4227.45,Fe,1,4.32,0.06
4227.71,Nd,2,0.471,0.213
4227.72,Ti,1,2.487,0.296
4227.75,Ce,2,0.696,0.146
4227.76,Zr,1,0.73,0.183
