Wavl[A],Elm,Ion,Elow[eV],BrCalDep,CalBlending[%]
6187.99,Fe,1,3.943,0.3865,0.602
6191.18,Ni,1,1.676,0.5424,1.039
6194.42,Si,1,5.871,0.0449,1.039
6200.31,Fe,1,2.609,0.5495,0.142
6213.43,Fe,1,2.223,0.6272,0.323
6220.21,Si,1,5.863,0.0512,0.323
6220.78,Fe,1,3.882,0.2477,0.715
6223.98,Ni,1,4.105,0.2442,0.362
6224.53,V,1,0.287,0.0411,1.933
6226.73,Fe,1,3.884,0.2238,0.641
6229.23,Fe,1,2.845,0.3516,0.817
6230.09,Ni,1,4.105,0.1426,4.488
6232.64,Fe,1,3.654,0.5762,0.496
6237.32,Si,1,5.614,0.4021,0.333
6239.94,Fe,2,3.889,0.086,0.741
6240.31,Fe,1,4.143,0.1572,0.741
6240.65,Fe,1,2.223,0.4287,0.196
6243.81,Si,1,5.616,0.307,0.356
6244.47,Si,1,5.616,0.3609,0.67
6245.64,Sc,2,1.507,0.3356,1.152
6247.56,Fe,2,3.892,0.3939,0.366
6253.83,Fe,1,4.733,0.2251,0.366
6256.36,Fe,1,2.453,0.6319,0.366
6258.1,Ti,1,1.443,0.4033,0.18
6258.71,Ti,1,1.46,0.4305,2.556
6259.6,Ni,1,4.089,0.1494,4.319
6261.1,Ti,1,1.43,0.3563,1.196
6265.13,Fe,1,2.176,0.6192,0.207
6270.22,Fe,1,2.858,0.4658,0.352
6271.28,Fe,1,3.332,0.2108,0.447
6271.77,Ni,1,3.306,0.0435,5.82
6293.92,Fe,1,4.835,0.088,4.213
6297.79,Fe,1,2.223,0.5687,0.325
6299.6,Si,1,5.984,0.2096,0.325
6300.7,Sc,2,1.507,0.0802,4.941
6308.83,Si,1,5.863,0.0804,0.998
6311.5,Fe,1,2.832,0.2363,2.365
6312.24,Ti,1,1.46,0.0585,1.692
6315.81,Fe,1,4.076,0.3362,2.507
6318.72,Mg,1,5.108,0.2087,2.902
6319.24,Mg,1,5.108,0.1419,2.33
6322.17,Ni,1,4.154,0.1642,1.095
6322.68,Fe,1,2.588,0.5502,0.31
6327.6,Ni,1,1.676,0.3018,2.006
6330.09,Cr,1,0.941,0.2748,1.015
6330.85,Fe,1,4.733,0.1246,1.356
6344.15,Fe,1,2.433,0.4618,1.331
6347.11,Si,2,8.121,0.2326,1.52
6362.34,Zn,1,5.796,0.1977,3.26
6369.46,Fe,2,2.891,0.1742,0.643
6371.37,Si,2,8.121,0.1843,1.12
6378.25,Ni,1,4.154,0.2587,1.188
6380.74,Fe,1,4.186,0.3833,0.889
6408.02,Fe,1,3.686,0.6002,0.301
6414.58,Ni,1,4.154,0.1523,1.792
6414.98,Si,1,5.871,0.283,0.506
6419.95,Fe,1,4.733,0.5462,0.594
6424.85,Ni,1,4.167,0.1039,2.665
6432.68,Fe,2,2.891,0.3448,0.297
6436.41,Fe,1,4.186,0.055,2.98
6455.6,Ca,1,2.523,0.4361,0.438
6456.38,Fe,2,3.903,0.4522,0.193
6456.88,Ca,2,8.438,0.0898,5.523
6469.19,Fe,1,4.835,0.3842,5.523
6471.66,Ca,1,2.526,0.581,0.326
6475.62,Fe,1,2.559,0.4047,0.407
6481.87,Fe,1,2.279,0.4838,0.269
6482.8,Ni,1,1.935,0.4033,0.641
6496.47,Fe,1,4.796,0.4524,1.951
6499.65,Ca,1,2.523,0.5547,0.461
6516.08,Fe,2,2.891,0.425,1.644
6518.37,Fe,1,2.832,0.4743,1.13
6527.2,Si,1,5.871,0.2686,1.13
6532.87,Ni,1,1.935,0.1545,5.033
6533.93,Fe,1,4.559,0.2562,3.01
6586.31,Ni,1,1.951,0.3497,5.811
6593.87,Fe,1,2.433,0.5779,1.004
6597.56,Fe,1,4.796,0.3157,4.083
6598.6,Ni,1,4.236,0.2281,2.198
6608.02,Fe,1,2.279,0.1565,1.568
6609.11,Fe,1,2.559,0.481,0.914
6625.02,Fe,1,1.011,0.1235,2.376
6627.54,Fe,1,4.549,0.1837,0.899
6630.01,Cr,1,1.03,0.0575,3.648
6633.41,Fe,1,4.835,0.1619,2.823
6633.75,Fe,1,4.559,0.4387,0.366
6634.11,Fe,1,4.796,0.1899,2.039
6635.12,Ni,1,4.419,0.1939,4.029
6635.69,Si,1,5.863,0.1066,4.029
6643.63,Ni,1,1.676,0.5834,0.253
6653.85,Fe,1,4.154,0.1187,0.592
6661.07,Cr,1,4.193,0.1114,1.481
6667.42,Fe,1,2.453,0.0696,1.481
6669.28,Cr,1,4.175,0.0477,4.143
6698.67,Al,1,3.143,0.1221,1.015
6699.14,Fe,1,4.593,0.0712,7.157
6703.57,Fe,1,2.759,0.2843,0.212
6704.48,Fe,1,4.218,0.0772,4.388
6705.1,Fe,1,4.607,0.4028,0.813
6710.32,Fe,1,1.485,0.1478,2.433
6713.74,Fe,1,4.796,0.1411,0.279
6715.38,Fe,1,4.608,0.1817,3.595
6716.24,Fe,1,4.58,0.1157,3.678
6721.85,Si,1,5.863,0.2719,0.311
6725.36,Fe,1,4.103,0.1605,2.001
6726.67,Fe,1,4.607,0.3141,0.419
6733.15,Fe,1,4.638,0.2981,0.903
6737.99,Fe,1,4.559,0.077,2.504
6739.52,Fe,1,1.557,0.1225,3.125
6741.63,Si,1,5.984,0.0817,1.735
6745.96,Fe,1,4.076,0.0813,3.742
6750.15,Fe,1,2.424,0.53,0.11
6752.71,Fe,1,4.638,0.2794,0.458
6767.77,Ni,1,1.826,0.5633,0.079
6772.31,Ni,1,3.658,0.4235,0.57
6786.86,Fe,1,4.191,0.1712,0.556
6793.26,Fe,1,4.076,0.1124,0.736
