#lambda(nm,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness
497.7524 | 20090.310 | Ni I  | 29084.456 - 49174.770 | 3d8.(3F).4s.4p.(3P*) 5F*            | 4    | 3d9.(2D[5/2]).4d 2[9/2]             | 4    | 0.275 | 3
497.7715 | 20089.540 | Ni I  | 13521.347 - 33610.890 | 3d8.(1D).4s2 1D                     | 2    | 3d8.(3F).4s.4p.(3P*) 3D*            | 2    | 0.373 | 3
498.3890 | 20064.650 | Fe I  | 33095.941 - 53160.593 | 3d7.(4F).4p y 5D*                   | 4    | 3d7.(4F).4d f 5P                    | 3    | 0.741 | 3
498.5243 | 20059.202 | Fe I  | 33095.941 - 53155.145 | 3d7.(4F).4p y 5D*                   | 4    | 3d7.(4F).4d h 5D                    | 4    | 0.715 | 3
498.5507 | 20058.141 | Ni I  | 30619.414 - 50677.555 | 3d9.(2D).4p 3F2                     | 2    | 3d9.(2D[5/2]).4d [7/2]5             | 3    | 0.641 | 3
498.6644 | 20053.569 | Fe I  | 31686.351 - 51739.920 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 2    | 3d6.(5D).4s (4D).5s e 3D            | 2    | 0.688 | 3
498.6938 | 20052.386 | Fe I  | 23110.939 - 43163.326 | 3d6.(5D).4s.4p.(3P*) z 7F*          | 3    | 3d6.(5D).4s (6D).5s e 7D            | 4    | 0.715 | 3
498.7613 | 20049.669 | Fe I  | 34017.103 - 54066.773 | 3d7.(4F).4p y 5D*                   | 1    | 3d7.(4F).4d f 3D                    | 2    | 0.427 | 1
499.0341 | 20038.711 | Fe I  | 33507.123 - 53545.833 | 3d7.(4F).4p y 5D*                   | 3    | 3d7.(4F).4d h 5D                    | 4    | 0.644 | 3
499.4748 | 20021.030 | Fe II | 22637.195 - 42658.244 | 3d6.(3F2).4s b 4F                   | 9/2  | 3d6.(5D).4p z 6P*                   | 7/2  | 0.352 | 1
499.7044 | 20011.830 | Ni I  | 29320.762 - 49332.593 | 3d9.(2D).4p 3F*                     | 3    | 3d9.(2D[5/2]).4d 2[7/2]             | 4    | 0.186 | 1
499.8487 | 20006.054 | Ti I  |     0.000 - 20006.039 | 3d2.4s2 a 3F                        | 2    | 3d2.(3F).4s.4p.(3P*) z 3D*          | 2    | 0.306 | 3
500.6566 | 19973.770 | Ti II | 12628.845 - 32602.626 | 3d3 b 2D2                           | 3/2  | 3d2.(3F).4p z 4D*                   | 3/2  | 0.212 | 2
513.0585 | 19490.953 | Ti II | 15257.553 - 34748.506 | 3d2.(1G).4s b 2G                    | 9/2  | 3d2.(3F).4p z 2G*                   | 9/2  | 0.573 | 3
513.0810 | 19490.100 | Ni I  | 29668.918 - 49159.030 | 3d9.(2D).4p *                       | 3    | 3d9.(2D[5/2]).4d 2[3/2]             | 2    | 0.482 | 3
513.2898 | 19482.171 | Fe I  | 17927.382 - 37409.555 | 3d7.(4P).4s a 5P                    | 1    | 3d6.(5D).4s.4p.(1P*) y 5P*          | 1    | 0.634 | 3
513.3204 | 19481.010 | Ni I  | 29832.779 - 49313.814 | 3d8.(3F).4s.4p.(3P) 5F3             | 3    | 3d9.(2D[5/2])4d [7/2]3              | 3    | 0.373 | 3
513.4091 | 19477.643 | Fe II | 22637.195 - 42114.838 | 3d6.(3F2).4s b 4F                   | 9/2  | 3d6.(5D).4p z 6F*                   | 9/2  | 0.214 | 2
513.5118 | 19473.747 | Fe I  | 33695.397 - 53169.146 | 3d7.(4F).4p y 5F*                   | 5    | 3d7.(4F).4d f 5G                    | 6    | 0.760 | 3
513.7524 | 19464.629 | Fe I  | 33765.306 - 53229.941 | 3d8 c 3F                            | 2    | 3d7.(2D2).4p v 3P*                  | 1    | 0.193 | 3
513.8510 | 19460.894 | Ni I  | 13521.347 - 32982.260 | 3d8.(1D).4s2 1D                     | 2    | 3d9.(2D).4p 1P*                     | 1    | 0.677 | 2
513.8813 | 19459.746 | Fe I  | 33695.397 - 53155.145 | 3d7.(4F).4p y 5F*                   | 5    | 3d7.(4F).4d h 5D                    | 4    | 0.689 | 3
514.0894 | 19451.868 | Fe I  | 23711.456 - 43163.326 | 3d6.(5D).4s.4p.(3P*) z 7P*          | 4    | 3d6.(5D).4s (6D).5s e 7D            | 4    | 0.799 | 5
514.3171 | 19443.257 | Fe I  | 19552.478 - 38995.736 | 3d6.4s2 a 3P2                       | 1    | 3d7.(4F).4p y 3D*                   | 1    | 0.654 | 1
514.4213 | 19439.319 | Ni I  | 29888.477 - 49327.811 | 3d9.(2D).4p 3D2                     | 2    | 3d9.(2D[5/2]).4d [5/2]2             | 2    | 0.598 | 5
514.5156 | 19435.755 | Fe I  | 17726.988 - 37162.746 | 3d7.(4P).4s a 5P                    | 2    | 3d7.(4F).4p y 3F*                   | 3    | 0.220 | 3
514.6101 | 19432.189 | Cr I  | 21856.929 - 41289.113 | 3d5.(4P).4s a 5P                    | 1    | 3d4.(5D).4s.4p.(1P*) y 5D*          | 1    | 0.204 | 4
514.7551 | 19426.714 | Fe II | 22810.346 - 42237.058 | 3d6.(3Fs).4s b 4F                   | 7/2  | 3d6.(5D).4p z 6F*                   | 7/2  | 0.274 | 4
514.7740 | 19426.001 | Fe I  | 35257.324 - 54683.322 | 3d7.(4F).4p z 5G*                   | 4    | 3d7.(4F).4d f 3F                    | 4    | 0.180 | 5
514.7920 | 19425.321 | Ni I  | 29888.477 - 49313.814 | 3d9.(2D).4p 3D2                     | 2    | 3d9.(2D[5/2]).4d [7/2]3             | 3    | 0.609 | 3
514.9476 | 19419.452 | Fe I  | 34547.211 - 53966.662 | 3d7.(4F).4p y 5F*                   | 2    | 3d7.(4F).4d h 5D                    | 3    | 0.581 | 4
514.9663 | 19418.746 | Fe I  | 34328.752 - 53747.500 | 3d7.(4F).4p y 5F*                   | 3    | 3d7.(4F).4d f 3D                    | 3    | 0.631 | 4
515.4671 | 19399.880 | Cu I  | 30535.324 - 49935.195 | 3d10.4p 2P*                         | 1/2  | 3d10.4d 2D                          | 3/2  | 0.394 | 4
515.9418 | 19382.030 | Ni I  | 29084.456 - 48466.490 | 3d8.(3F).4s.4p.(3P*) 5F*            | 4    | 3d8.4s.(4F).5s 5F                   | 5    | 0.179 | 0
516.0494 | 19377.988 | Fe I  | 34547.211 - 53925.200 | 3d7.(4F).4p y 5F*                   | 2    | 3d7.(4F).4d f 5P                    | 1    | 0.535 | 1
516.6849 | 19354.156 | Fe I  | 34039.516 - 53393.673 | 3d7.(4F).4p y 5F*                   | 4    | 3d7.(4F).4d g 5F                    | 3    | 0.597 | 3
516.8761 | 19346.997 | Mg I  | 21850.405 - 41197.403 | 3s.3p 3P*                           | 0    | 3s.4s 3S                            | 1    | 0.834 | 5
516.8927 | 19346.373 | Fe I  | 11976.239 - 31322.613 | 3d7.(4F).4s a 3F                    | 4    | 3d6.(5D).4s.4p.(3P*) z 3D*          | 3    | 0.808 | 5
517.4125 | 19326.940 | Mg I  | 21870.464 - 41197.403 | 3s.3p 3P*                           | 1    | 3s.4s 3S                            | 1    | 0.836 | 2
517.5181 | 19322.996 | Ti I  |     0.000 - 19322.984 | 3d2.4s2 a 3F                        | 2    | 3d2.(3F).4s.4p.(3P*) z 3F*          | 2    | 0.610 | 3
517.8000 | 19312.476 | Ni I  | 31441.635 - 50754.103 | 3d9.(2D).4p 1D*                     | 2    | 3d9.(2D[3/2]).4d 2[3/2]             | 2    | 0.458 | 2
517.8676 | 19309.956 | Fe I  | 29798.936 - 49108.896 | 3d6.4s2 b 1G2                       | 4    | 3d7.(2G).4p w 3F*                   | 4    | 0.228 | 4
517.8844 | 19309.329 | Cr I  | 27649.696 - 46959.026 | 3d4.(5D).4s.4p.(3P*) z 7D*          | 4    | 3d4.4s.5s f 7D                      | 5    | 0.176 | 4
518.7346 | 19277.680 | Ti II | 15265.700 - 34543.380 | 3d2.(1G).4s b 2G                    | 7/2  | 3d2.(3F).4p z 2G*                   | 7/2  | 0.525 | 1
518.7997 | 19275.262 | Ni I  | 31441.635 - 50716.896 | 3d9.(2D).4p 1D2                     | 2    | 3d9.(2D[3/2]).4d [3/2]1             | 1    | 0.166 | 2
519.0132 | 19267.332 | Ti II | 12758.260 - 32025.591 | 3d3 b 2D2                           | 5/2  | 3d2.(3F).4p z 2D*                   | 5/2  | 0.685 | 4
519.0300 | 19266.709 | Ca I  | 23652.304 - 42919.053 | 3p6.4s.4p 1P*                       | 1    | 3p6.4s.5d 1D                        | 2    | 0.677 | 4
519.3441 | 19255.058 | Cr I  | 27382.174 - 46637.231 | 3d4.(5D).4s.4p.(3P*) z 7D*          | 2    | 3d4.4s.5s f 7D                      | 3    | 0.230 | 4
519.9384 | 19233.046 | Fe I  | 34692.148 - 53925.200 | 3d7.(4F).4p y 5F*                   | 1    | 3d7.(4F).4d f 5P                    | 1    | 0.315 | 2
520.0158 | 19230.183 | Fe I  | 17927.382 - 37157.566 | 3d7.(4P).4s a 5P                    | 1    | 3d6.(5D).4s.4p.(1P*) y 5P*          | 2    | 0.695 | 1
520.7172 | 19204.282 | Y II  |  8328.039 - 27532.321 | 4d2 a 3F                            | 3    | 4d.5p z 3F*                         | 3    | 0.420 | 3
520.9550 | 19195.515 | Cr I  | 21847.835 - 41043.346 | 3d5.(4P).4s a 5P                    | 2    | 3d4.(5D).4s.4p.(1P*) x 5P*          | 3    | 0.174 | 5
520.9860 | 19194.375 | Cr I  |  7593.148 - 26787.464 | 3d5.(6S).4s a 5S                    | 2    | 3d5.(6S).4p z 5P*                   | 3    | 0.857 | 4
521.0044 | 19193.696 | Fe I  | 26140.179 - 45333.875 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 3    | 3d6.(5D).4s (6D).5s e 5D            | 2    | 0.716 | 4
521.2982 | 19182.880 | Ti II | 20891.790 - 40074.671 | 3d3 b 2F                            | 7/2  | 3d2.(1D).4p y 2F*                   | 7/2  | 0.284 | 1
521.5583 | 19173.312 | Cr I  | 27176.107 - 46349.418 | 3d5.(4P).4s b 3P                    | 1    | 3d4.(3F1).4s.4p.(3P*) w 5D*         | 2    | 0.158 | 1
521.7726 | 19165.437 | Fe I  | 12968.554 - 32133.991 | 3d7.(4F).4s a 3F                    | 2    | 3d6.(5D).4s.4p.(3P*) z 3F*          | 2    | 0.752 | 3
521.7936 | 19164.666 | Ni I  | 30163.124 - 49327.811 | 3d8.(3F).4s.4p.(3P) 5F2             | 2    | 3d9.(2D[5/2]).4d [5/2]2             | 2    | 0.246 | 4
521.8842 | 19161.340 | Fe I  | 25899.989 - 45061.329 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 4    | 3d6.(5D).4s (6D).5s e 5D            | 3    | 0.692 | 1
522.4639 | 19140.077 | Fe I  | 29320.026 - 48460.113 | 3d6.4s2 b 3D                        | 1    | 3d7.(4P).4p x 3P*                   | 0    | 0.270 | 0
522.7994 | 19127.797 | Ti II | 12628.845 - 31756.641 | 3d3 b 2D2                           | 3/2  | 3d2.(3F).4p z 2D*                   | 3/2  | 0.631 | 3
523.1680 | 19114.319 | Co I  | 14036.280 - 33150.680 | 3p6.3d7.4s2 a 4P                    | 3/2  | 3p6.3d8.(3F).4p y 4D*               | 3/2  | 0.232 | 3
523.7661 | 19092.490 | Fe I  | 33765.306 - 52857.804 | 3d8 c 3F                            | 2    | 3d7.(2D2).4p t 3D*                  | 1    | 0.302 | 3
534.1414 | 18721.633 | Fe I  | 26339.696 - 45061.329 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 2    | 3d6.(5D).4s (6D).5s e 5D            | 3    | 0.717 | 3
534.9802 | 18692.282 | Cr I  |  8095.184 - 26787.464 | 3d4.4s2 a 5D                        | 3    | 3d5.(6S).4p z 5P*                   | 3    | 0.683 | 1
552.3980 | 18102.889 | Fe I  | 33946.933 - 52049.823 | 3d6.(5D).4s.4p.(3P*) z 3P*          | 2    | 3d6.(5D).4s (4D).5s g 5D            | 2    | 0.360 | 1
552.8320 | 18088.678 | Sc II | 14261.320 - 32349.980 | 3p6.3d2 1G                          | 4    | 3p6.3d.4p 1F*                       | 3    | 0.567 | 1
553.6376 | 18062.357 | Fe II | 26170.181 - 44232.540 | 3d6.(3H).4s b 2H                    | 11/2 | 3d6.(5D).4p z 4F*                   | 9/2  | 0.447 | 3
553.9338 | 18052.699 | Mn I  | 17637.156 - 35690.008 | 3d6.(5D).4s a 6D                    | 1/2  | 3d5.(6S).4s.4p.(1P*) y 6P*          | 3/2  | 0.195 | 4
554.0054 | 18050.366 | Fe I  | 34017.103 - 52067.469 | 3d7.(4F).4p y 5D*                   | 1    | 3d6.(5D).4s (6D).4d e 5P            | 2    | 0.300 | 1
554.8046 | 18024.364 | Fe I  | 35257.324 - 53281.689 | 3d7.(4F).4p z 5G*                   | 4    | 3d7.(4F).4d f 5G                    | 5    | 0.399 | 2
556.1755 | 17979.935 | Fe I  | 35767.564 - 53747.500 | 3d7.(4F).4p z 3G*                   | 4    | 3d7.(4F).4d f 3D                    | 3    | 0.405 | 1
556.7249 | 17962.192 | Fe I  | 37162.746 - 55124.938 | 3d7.(4F).4p y 3F*                   | 3    | 3d7.(4F).4d f 3F                    | 3    | 0.567 | 3
557.1164 | 17949.569 | Fe I  | 27559.583 - 45509.152 | 3d6.(5D).4s.4p.(3P*) z 5F*          | 2    | 3d6.(5D).4s (6D).5s e 5D            | 1    | 0.717 | 1
557.4389 | 17939.184 | Fe I  | 27394.691 - 45333.875 | 3d6.(5D).4s.4p.(3P*) z 5F*          | 3    | 3d6.(5D).4s (6D).5s e 5D            | 2    | 0.749 | 3
557.7637 | 17928.740 | Fe I  | 27666.348 - 45595.086 | 3d6.(5D).4s.4p.(3P*) z 5F*          | 1    | 3d6.(5D).4s (6D).5s e 5D            | 0    | 0.672 | 1
558.6315 | 17900.888 | Fe I  | 28819.954 - 46720.842 | 3d7.(2H).4s a 1H                    | 5    | 3d7.(4P).4p u 5D*                   | 4    | 0.290 | 1
558.9125 | 17891.888 | Fe I  | 33412.717 - 51304.604 | 3d8 c 3F                            | 3    | 3d7.(2D2).4p v 3F*                  | 4    | 0.295 | 1
558.9410 | 17890.976 | Ni I  | 15609.844 - 33500.822 | 3d8.(3P).4s2 3P                     | 2    | 3d8.(3F).4s.4p.(3P*) 3D*            | 3    | 0.447 | 1
559.0310 | 17888.096 | Ca I  | 20371.000 - 38259.124 | 3p6.3d.4s 3D                        | 3    | 3p6.3d.4p 3D*                       | 3    | 0.775 | 3
559.5288 | 17872.180 | Ni I  | 31441.635 - 49313.814 | 3d9.(2D).4p 1D*                     | 2    | 3d9.(2D[5/2]).4d 2[7/2]             | 3    | 0.324 | 0
559.6208 | 17869.242 | Fe I  | 36686.176 - 54555.418 | 3d7.(4F).4p y 3F*                   | 4    | 3d7.(4F).4d e 3H                    | 4    | 0.453 | 4
561.6332 | 17805.215 | Ni I  | 33500.822 - 51306.038 | 3d8.(3F).4s.4p.(3P) 3D3             | 3    | 3d8.4s.(4F).5s 3F3                  | 3    | 0.320 | 2
562.5583 | 17775.936 | Fe I  | 35379.208 - 53155.145 | 3d7.(4F).4p z 3G*                   | 5    | 3d7.(4F).4d h 5D                    | 4    | 0.384 | 3
562.6890 | 17771.806 | Ni I  | 32982.260 - 50754.103 | 3d9.(2D).4p 1P*                     | 1    | 3d9.(2D[3/2]).4d 2[3/2]             | 2    | 0.311 | 2
563.5510 | 17744.623 | Fe I  | 40257.314 - 58001.938 | 3d6.(5D).4s.4p.(1P*) x 5F*          | 5    | 3d6.(5D).4s (4D).4d g 5G            | 6    | 0.476 | 1
563.8260 | 17735.967 | Fe I  | 29356.744 - 47092.712 | 3d6.4s2 b 3D                        | 2    | 3d6.(3F2).4s.4p.(3P*) x 3F*         | 3    | 0.173 | 1
564.1876 | 17724.601 | Fe I  | 37409.555 - 55134.168 | 3d6.(5D).4s.4p.(1P*) y 5P*          | 1    | 3d6.4s.(6D).6s 5D                   | 2    | 0.158 | 3
564.7178 | 17707.960 | Si I  | 39760.285 - 57468.239 | 3s2.3p.4s 3P*                       | 1    | 3s2.3p.5p 3P                        | 2    | 0.252 | 3
565.3037 | 17689.606 | Fe I  | 36079.372 - 53768.979 | 3d7.(4F).4p z 3G*                   | 3    | 3d7.(4F).4d f 5G                    | 4    | 0.158 | 0
565.3886 | 17686.949 | Fe I  | 34362.873 - 52049.823 | 3d6.(5D).4s.4p.(3P*) z 3P*          | 1    | 3d6.(5D).4s (4D).5s g 5D            | 2    | 0.217 | 1
565.5435 | 17682.104 | Fe I  | 35379.208 - 53061.318 | 3d7.(4F).4p z 3G*                   | 5    | 3d7.(4F).4d g 5F                    | 5    | 0.304 | 2
565.6746 | 17678.009 | Fe I  | 40842.154 - 58520.163 | 3d6.(5D).4s.4p.(1P*) x 5F*          | 3    | 3d6.(5D).4s (4D).4d g 5G            | 4    | 0.356 | 2
606.7161 | 16482.173 | Fe I  | 21038.987 - 37521.161 | 3d6.4s2 b 3F2                       | 2    | 3d7.(4F).4p y 3F*                   | 2    | 0.664 | 1
608.0173 | 16446.899 | Fe I  | 38678.039 - 55124.938 | 3d7.(4F).4p y 3D*                   | 2    | 3d7.(4F).4d f 3F                    | 3    | 0.491 | 1
608.0690 | 16445.502 | Fe I  | 37521.161 - 53966.662 | 3d7.(4F).4p y 3F*                   | 2    | 3d7.(4F).4d h 5D                    | 3    | 0.342 | 1
608.4394 | 16435.490 | Fe I  | 17927.382 - 34362.873 | 3d7.(4P).4s a 5P                    | 1    | 3d6.(5D).4s.4p.(3P*) z 3P*          | 1    | 0.285 | 2
608.5787 | 16431.729 | Fe II | 25805.327 - 42237.058 | 3d6.(3G).4s a 4G                    | 9/2  | 3d6.(5D).4p z 6F*                   | 7/2  | 0.164 | 1
608.7965 | 16425.850 | Ni I  | 34408.555 - 50834.401 | 3d8.(3F).4s.4p.(3P*) 3D*            | 1    | 3d9.(2D[3/2]).4d 2[5/2]             | 2    | 0.319 | 2
609.1895 | 16415.253 | V I   |  8715.747 - 25131.002 | 3d4.(5D).4s a 4D                    | 7/2  | 3d4.(5D).4p z 4P*                   | 5/2  | 0.253 | 1
609.3605 | 16410.647 | Si I  | 47351.554 - 63762.200 | 3s2.3p.3d 1D*                       | 2    | 3s2.3p.(2P*[3/2]).7f 2[7/2]         | 3    | 0.177 | 2
609.5331 | 16406.000 | Fe I  | 37162.746 - 53568.751 | 3d7.(4F).4p y 3F*                   | 3    | 3d7.(4F).4d f 5P                    | 2    | 0.236 | 1
611.2761 | 16359.220 | Ni I  | 32973.376 - 49332.593 | 3d8.(3F).4s.4p.(3P*) 3F*            | 4    | 3d9.(2D[5/2]).4d 2[7/2]             | 4    | 0.253 | 1
612.3910 | 16329.437 | Ca I  | 15210.063 - 31539.495 | 3p6.4s.4p 3P*                       | 1    | 3p6.4s.5s 3S                        | 1    | 0.766 | 1
612.6716 | 16321.958 | Si I  | 45276.188 - 61598.145 | 3s.3p3 3D*                          | 1    | 3s2.3p(2P*[3/2]).5f 2[5/2]          | 2    | 0.199 | 1
612.7910 | 16318.778 | Ti I  |  8602.344 - 24921.117 | 3d2.4s2 a 3P                        | 2    | 3d2.(3P).4s.4p.(3P*) z 3S*          | 1    | 0.178 | 0
612.9602 | 16314.272 | Fe I  | 33412.717 - 49726.990 | 3d8 c 3F                            | 3    | 3d7.(2G).4p y 3H*                   | 4    | 0.367 | 1
613.1832 | 16308.340 | Ni I  | 34408.555 - 50716.896 | 3d8.(3F).4s.4p.(3P*) 3D*            | 1    | 3d9.(2D[3/2]).4d 2[3/2]             | 1    | 0.168 | 1
613.3270 | 16304.516 | Si I  | 45293.629 - 61598.145 | 3s.3p3 3D*                          | 2    | 3s2.3p.(2P*[3/2]).5f 2[5/2]         | 2    | 0.153 | 3
613.3549 | 16303.775 | Si I  | 45293.629 - 61597.404 | 3s.3p3 3D*                          | 2    | 3s2.3p.(2P*[3/2]).5f 2[5/2]         | 3    | 0.159 | 3
613.8313 | 16291.120 | Fe I  | 19788.251 - 36079.372 | 3d6.4s2 a 3H                        | 4    | 3d7.(4F).4p z 3G*                   | 3    | 0.694 | 2
613.8693 | 16290.113 | Fe I  | 17726.988 - 34017.103 | 3d7.(4P).4s a 5P                    | 2    | 3d7.(4F).4p y 5D*                   | 1    | 0.468 | 2
613.9390 | 16288.263 | Fe I  | 20874.482 - 37162.746 | 3d6.4s2 b 3F2                       | 3    | 3d7.(4F).4p y 3F*                   | 3    | 0.673 | 2
614.4183 | 16275.557 | Si I  | 45321.848 - 61597.404 | 3s.3p3 3D*                          | 3    | 3s2.3p.(2P*[3/2]).5f 2[5/2          | 3    | 0.223 | 2
614.6717 | 16268.847 | Si I  | 45293.629 - 61562.477 | 3s.3p3 3D*                          | 2    | 3s2.3p.(2P*[3/2]).5f 2[7/2          | 3    | 0.252 | 2
615.0933 | 16257.696 | Fe II | 31368.453 - 47626.110 | 3d6.(3D).4s b 4D                    | 1/2  | 3d6.(5D).4p z 4P*                   | 1/2  | 0.264 | 1
615.3320 | 16251.389 | Fe I  | 17550.181 - 33801.572 | 3d7.(4P).4s a 5P                    | 3    | 3d7.(4F).4p y 5D*                   | 2    | 0.370 | 0
615.5928 | 16244.503 | Na I  | 16956.170 - 33200.673 | 2p6.3p 2P*                          | 1/2  | 2p6.5s 2S                           | 1/2  | 0.239 | 2
615.6838 | 16242.103 | Si I  | 45321.848 - 61563.952 | 3s.3p3 3D*                          | 3    | 3s2.3p.(2P*[3/2]).5f 2[7/2]         | 4    | 0.415 | 2
616.2452 | 16227.307 | Na I  | 16973.366 - 33200.673 | 2p6.3p 2P*                          | 3/2  | 2p6.5s 2S                           | 1/2  | 0.360 | 1
616.5470 | 16219.364 | Ca I  | 20335.360 - 36554.749 | 3p6.3d.4s 3D                        | 1    | 3p6.4s.5p 3P*                       | 1    | 0.419 | 3
616.7066 | 16215.166 | Fe I  | 33412.717 - 49627.884 | 3d8 c 3F                            | 3    | 3d7.(2G).4p v 3G*                   | 4    | 0.333 | 0
616.8150 | 16212.316 | Ca I  | 20335.360 - 36547.688 | 3p6.3d.4s 3D                        | 1    | 3p6.4s.5p 3P*                       | 0    | 0.464 | 1
617.5044 | 16194.218 | Fe I  | 17927.382 - 34121.603 | 3d7.(4P).4s a 5P                    | 1    | 3d7.(4F).4p y 5D*                   | 0    | 0.481 | 1
617.7076 | 16188.890 | Ni I  | 32982.260 - 49171.151 | 3d9.(2D).4p 1P*                     | 1    | 3d9.(2D[5/2]).4d 2[3/2]             | 1    | 0.346 | 2
617.8520 | 16185.106 | Ni I  | 32973.376 - 49158.480 | 3d8.(3F).4s.4p.(3P*) 3F*            | 4    | 3d9.(2D[5/2]).4d 2[9/2]             | 5    | 0.418 | 1
618.9702 | 16155.866 | Fe I  | 31805.071 - 47960.940 | 3d6.(5D).4s.4p.(3P*) z 3F*          | 3    | 3d7.(4F).5s e 3F                    | 4    | 0.344 | 1
619.2900 | 16147.524 | Ni I  | 13521.347 - 29668.893 | 3d8.(1D).4s2 1D2                    | 2    | 3d9.(2D).4p 3D3                     | 3    | 0.507 | 2
620.2028 | 16123.758 | Fe I  | 21038.987 - 37162.746 | 3d6.4s2 b 3F2                       | 2    | 3d7.(4F).4p y 3F*                   | 3    | 0.504 | 1
#621.5149 | 16089.719 | Fe I  | 17927.382 - 34017.103 | 3d7.(4P).4s a 5P                    | 1    | 3d7.(4F).4p y 5D*                   | 1    | 0.537 | 0
622.5704 | 16062.440 | Ni I  | 33112.334 - 49174.770 | 3d8.(3F).4s.4p.(3P*) 3F*            | 3    | 3d9.(2D[5/2]).4d 2[9/2]             | 4    | 0.206 | 1
622.8459 | 16055.336 | Fe I  | 31322.613 - 47377.955 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 3    | 3d7.(4F).5s e 5F                    | 4    | 0.216 | 0
623.1811 | 16046.700 | Ni I  | 33112.334 - 49159.030 | 3d8.(3F).4s.4p.(3P*) 3F*            | 3    | 3d9.(2D[5/2]).4d 2[3/2]             | 2    | 0.153 | 2
623.4365 | 16040.126 | Fe I  | 29469.024 - 45509.152 | 3d6.(5D).4s.4p.(3P*) z 5P*          | 2    | 3d6.(5D).4s (6D).5s e 5D            | 1    | 0.513 | 1
623.9045 | 16028.094 | Si I  | 45276.188 - 61304.283 | 3s.3p3 3D*                          | 1    | 3s2.3p(2P*[1/2]).5f 2[5/2]          | 2    | 0.340 | 2
624.2372 | 16019.551 | Fe I  | 17927.382 - 33946.933 | 3d7.(4P).4s a 5P                    | 1    | 3d6.(5D).4s.4p.(3P*) z 3P*          | 2    | 0.374 | 1
624.4834 | 16013.236 | V I   |  2424.809 - 18438.044 | 3d4.(5D).4s a 6D                    | 9/2  | 3d3.(4F).4s.4p.(3P*) z 6D*          | 9/2  | 0.208 | 1
624.5542 | 16011.421 | Si I  | 45293.629 - 61305.050 | 3s.3p3 3D*                          | 2    | 3s2.3p(2P*[1/2]).5f 2[7/2]          | 3    | 0.279 | 2
672.3709 | 14872.744 | Si I  | 47284.061 - 62156.816 | 3s2.3p.4p 1P                        | 1    | 3s2.3p.6d 1D*                       | 2    | 0.230 | 2
672.8523 | 14862.102 | Fe I  | 37157.566 - 52019.669 | 3d6.(5D).4s.4p.(1P*) y 5P*          | 2    | 3d6.(5D).4s (6D).4d e 5P            | 1    | 0.312 | 0
673.5009 | 14847.789 | Fe I  | 37409.555 - 52257.346 | 3d6.(5D).4s.4p.(1P*) y 5P*          | 1    | 3d6.(5D).4s (4D).5s g 5D            | 0    | 0.190 | 1
673.9847 | 14837.133 | Fe I  | 36766.966 - 51604.103 | 3d6.(5D).4s.4p.(1P*) y 5P*          | 3    | 3d6.(5D).4s (6D).4d f 5F            | 3    | 0.158 | 3
#675.2015 | 14810.393 | Fe I  | 19552.478 - 34362.873 | 3d6.4s2 a 3P2                       | 1    | 3d6.(5D).4s.4p.(3P*) z 3P*          | 1    | 0.485 | 0
675.4571 | 14804.790 | Fe I  | 37409.555 - 52214.345 | 3d6.(5D).4s.4p.(1P*) y 5P*          | 1    | 3d6.(5D).4s (4D).5s g 5D            | 1    | 0.244 | 2
676.9640 | 14771.834 | Ni I  | 14728.840 - 29500.674 | 3d10 1S                             | 0    | 3d9.(2D).4p 3P*                     | 1    | 0.492 | 1
677.4190 | 14761.912 | Ni I  | 29500.674 - 44262.599 | 3d9.(2D).4p 3P*                     | 1    | 3d9.(2D[3/2]).5s 2[3/2]             | 2    | 0.330 | 1
678.8733 | 14730.289 | Fe I  | 33801.572 - 48531.865 | 3d7.(4F).4p y 5D*                   | 2    | 3d7.(4F).5s e 3F                    | 3    | 0.171 | 2
