#lambda(Å,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness

4299.716 | 23257.350 | Ni I  | 30979.749 - 54237.099 | 3d8.(3F).4s.4p.(3P) 3G4             | 4    | 3d8.4s.(2F).5s 3F4                  | 4    | 0.210 | 5 

4299.716 | 23257.350 | Ni I  | 30979.749 - 54237.099 | 3d8.(3F).4s.4p.(3P) 3G4             | 4    | 3d8.4s.(2F).5s 3F4                  | 4    | 0.210 | 5 
4309.365 | 23205.275 | Mn II | 43696.217 - 66901.494 | 3d5.(4F).4s a 5F                    | 3    | 3d5.(4G).4p z 5F*                   | 2    | 0.354 | 5 

4309.365 | 23205.275 | Mn II | 43696.217 - 66901.494 | 3d5.(4F).4s a 5F                    | 3    | 3d5.(4G).4p z 5F*                   | 2    | 0.354 | 5 
4312.193 | 23190.057 | Gd II |  3972.167 - 27162.224 | 4f.(8S*).5d (9D*).6s 8D*            | 9/2  | 4f7.(8S*).5d (9D*).6p 10F           | 9/2  | 0.521 | 5 

4309.365 | 23205.275 | Mn II | 43696.217 - 66901.494 | 3d5.(4F).4s a 5F                    | 3    | 3d5.(4G).4p z 5F*                   | 2    | 0.354 | 5 
4315.724 | 23171.083 | Nd II |     0.000 - 23171.110 | 4f4.(5I).6s 6I                      | 7/2  | 4f3.5d.6s *                         | 9/2  | 0.211 | 3 

4309.365 | 23205.275 | Mn II | 43696.217 - 66901.494 | 3d5.(4F).4s a 5F                    | 3    | 3d5.(4G).4p z 5F*                   | 2    | 0.354 | 5 
4318.008 | 23158.827 | Ti II | 16515.936 - 39674.762 | 3d2.(3P).4s b 2P                    | 1/2  | 3d2.(1D).4p z 2P*                   | 1/2  | 0.476 | 3 

4312.193 | 23190.057 | Gd II |  3972.167 - 27162.224 | 4f.(8S*).5d (9D*).6s 8D*            | 9/2  | 4f7.(8S*).5d (9D*).6p 10F           | 9/2  | 0.521 | 5 
4318.008 | 23158.827 | Ti II | 16515.936 - 39674.762 | 3d2.(3P).4s b 2P                    | 1/2  | 3d2.(1D).4p z 2P*                   | 1/2  | 0.476 | 3 

4312.193 | 23190.057 | Gd II |  3972.167 - 27162.224 | 4f.(8S*).5d (9D*).6s 8D*            | 9/2  | 4f7.(8S*).5d (9D*).6p 10F           | 9/2  | 0.521 | 5 
4322.165 | 23136.553 | Ti II |  9395.802 - 32532.354 | 3d3 a 4P                            | 3/2  | 3d2.(3F).4p z 4D*                   | 1/2  | 0.676 | 3 

4315.295 | 23173.387 | Sc II |  4987.790 - 28161.170 | 3p6.3d2 3F                          | 4    | 3p6.3d.4p 3D*                       | 3    | 0.848 | 4 
4322.165 | 23136.553 | Ti II |  9395.802 - 32532.354 | 3d3 a 4P                            | 3/2  | 3d2.(3F).4p z 4D*                   | 1/2  | 0.676 | 3 

4334.960 | 23068.264 | La II |  1394.460 - 24462.660 | 5d2                                 | 2    | 5d.6p y 1D*                         | 2    | 0.390 | 4 
4346.111 | 23009.076 | Fe I  | 33507.123 - 56516.218 | 3d7.(4F).4p y 5D*                   | 3    | 3d7.(4F).6s 5F                      | 4    | 0.337 | 2 

