Wavl[vac;nm],Elm,Ion,Elow[eV],UnBrCalDep,MeasNormDepth,GaussVelOffset[m/s]
476.5622,Cr,1,3.551,0.4510,0.2598,-153.0
476.7183,Mn,1,2.941,0.8220,0.6322,262.4
476.9193,Cr,1,3.556,0.3140,0.1775,-648.0
476.9423,Co,1,3.191,0.2650,0.0986,-1263.6
477.0854,Fe,1,2.759,0.0230,0.0177,1121.6
477.2004,Cr,1,3.013,0.0990,0.0490,-846.9
477.3654,Zr,1,0.623,0.1930,0.0584,-887.6
477.5275,Ce,2,0.924,0.2470,0.1095,1091.7
477.5475,Sm,2,0.185,0.0210,0.0194,-1354.8
477.5885,Cr,1,3.011,0.0650,0.0293,-1232.9
477.6465,Cr,1,3.551,0.1240,0.0822,-209.1
477.7225,C,1,7.488,0.1640,0.1159,-1124.0
477.7405,Fe,1,3.301,0.4270,0.2495,-491.0
478.0476,Mn,1,4.64,0.0230,0.0237,-910.1
478.2767,Co,1,1.883,0.1140,0.0730,-470.5
478.3407,Fe,1,4.435,0.2490,0.1147,-412.9
478.4127,Fe,1,3.237,0.0720,0.0460,-529.8
478.6248,Zr,1,0.687,0.0470,0.0216,1003.9
478.6398,Co,1,3.952,0.0290,0.0356,22.4
478.7298,Fe,1,4.1427,0.4820,0.2673,-697.6
478.7618,Ni,1,1.676,0.5610,0.3388,-143.3
478.8148,Fe,1,3.017,0.8140,0.6764,-485.7
478.8828,Fe,1,3.018,0.0380,0.0248,-952.5
478.9169,Fe,1,2.9981,0.6300,0.3934,-597.4
479.1679,Cr,1,2.5447,0.2830,0.1475,-854.4
479.1899,Fe,1,4.1543,0.1810,0.0904,-428.7
479.2309,Ni,1,1.9508,0.2530,0.1372,-729.4
479.2589,Fe,1,3.2739,0.6210,0.3668,-984.9
479.292,Sm,2,0.104,0.0270,0.0336,760.4
479.419,Co,1,3.252,0.5560,0.3162,-135.3
479.476,Ni,1,3.706,0.0930,0.0536,-686.3
479.53,Fe,1,3.047,0.1610,0.0921,125.9
479.569,Fe,1,2.424,0.1850,0.1189,-41.9
479.615,Ti,2,1.131,0.0460,0.0358,655.6
479.9311,Ti,1,2.334,0.1210,0.0746,731.8
479.9861,Ti,2,1.08,0.6510,0.4202,315.3
480.0071,Fe,1,1.608,0.5960,0.3254,-190.1
480.0402,Fe,1,4.283,0.0600,0.0381,961.7
480.1472,Fe,1,3.038,0.3290,0.1688,-520.4
480.2372,Cr,1,3.1216,0.6830,0.4461,-646.2
480.2962,Fe,1,4.284,0.0760,0.0626,-783.8
480.5383,La,2,0.235,0.0580,0.0464,412.7
480.5863,Fe,1,3.573,0.3430,0.2178,-621.3
480.8864,V,1,2.125,0.2440,0.1060,538.2
480.9054,Fe,1,3.3683,0.6910,0.4592,-418.5
480.9494,Fe,1,3.2515,0.4860,0.2736,-494.8
481.0804,Zr,1,1.584,0.0240,0.0191,1444.1
481.1875,Zn,1,4.078,0.7730,0.6059,-151.2
481.2075,Cr,1,3.079,0.1760,0.0832,-201.0
481.2685,Nd,2,0.064,0.1830,0.0911,135.4
481.4455,Fe,1,3.274,0.4080,0.2269,-208.6
481.4815,Co,1,3.216,0.6240,0.3885,164.3
481.5055,Fe,1,4.58,0.0700,0.0457,659.3
481.5315,Co,1,3.298,0.1030,0.0670,-37.9
481.6376,Zr,1,0.651,0.0490,0.0188,1178.3
481.6816,C,1,7.946,0.0310,0.0250,-236.8
481.6966,Zr,1,0.604,0.1750,0.0379,-83.7
481.7496,Cr,1,4.535,0.0860,0.0430,-1111.7
481.8016,Fe,1,3.267,0.0550,0.0291,100.7
482.0007,Fe,1,3.415,0.0410,0.0327,133.4
482.2837,Fe,1,4.387,0.0900,0.0842,-534.5
482.3678,Fe,1,4.733,0.2970,0.0697,-791.7
482.4868,Mn,1,2.3191,0.8910,0.8133,-950.8
482.5808,Fe,1,4.143,0.0830,0.0620,224.4
482.7089,Fe,2,2.635,0.1410,0.0717,-1377.2
482.9389,Zr,1,0.623,0.0410,0.0246,-1147.1
483.0369,Ni,1,3.542,0.7810,0.6270,-100.5
483.378,V,1,0.0,0.3540,0.1383,-477.0
483.5861,Fe,1,2.4241,0.5950,0.3365,-331.5
483.6161,Ni,1,3.679,0.0440,0.0328,35.7
483.9002,Fe,1,4.584,0.0560,0.0510,-1127.7
484.0602,Ti,1,2.231,0.0210,0.0308,-819.0
484.3323,Ni,1,4.165,0.1280,0.0779,-368.9
486.1098,Fe,1,2.8754,0.8630,0.7751,33.5
486.3198,Cr,1,2.545,0.4760,0.3767,-332.7
486.8239,Si,1,4.954,0.2700,0.0402,37.4
489.7807,Fe,1,3.8836,0.5460,0.3209,-526.3
489.8548,Co,1,3.93,0.0420,0.0361,1012.1
489.9828,Cr,1,5.504,0.0210,0.0299,-570.3
490.0868,Co,1,2.042,0.1900,0.0777,758.9
490.1488,Y,2,1.033,0.7620,0.5056,-375.7
490.9971,Fe,1,2.484,0.1290,0.0810,-12.8
491.0471,Ti,1,0.826,0.1330,0.0632,299.2
491.0751,Fe,1,3.9286,0.7470,0.5345,-146.3
491.1391,Fe,1,3.3966,0.8130,0.6412,-521.3
491.1701,Fe,1,4.1909,0.7730,0.5896,-563.8
491.1931,Fe,1,4.2176,0.7740,0.5916,7.6
491.2561,Ti,2,3.124,0.6460,0.4280,-103.3
491.3151,Fe,1,3.9286,0.6340,0.3728,-516.7
491.3391,Ni,1,3.7681,0.6410,0.4241,-384.7
491.3872,Fe,1,4.143,0.1690,0.1141,-926.3
491.4512,Fe,1,4.608,0.3060,0.1465,-734.4
491.4992,Ti,1,1.8732,0.6980,0.4580,-646.8
491.5342,Ni,1,3.743,0.6940,0.4892,-121.8
491.5752,Nd,2,0.38,0.1600,0.0610,289.4
491.6292,Ce,2,0.879,0.0220,0.0271,-260.6
491.6602,Ti,1,1.887,0.1750,0.0831,-462.1
491.8033,Fe,1,3.929,0.0810,0.0457,-286.6
491.8603,Fe,1,4.191,0.6820,0.5167,-339.7
491.9733,Ni,1,3.841,0.7560,0.5495,7.5
492.0083,Ni,1,3.768,0.6490,0.3534,-573.8
492.3914,Cr,1,3.011,0.0290,0.0166,-1357.4
492.4534,Fe,1,4.733,0.1120,0.1517,-621.4
492.5675,Fe,1,4.796,0.2390,0.1415,-610.1
492.7525,Ti,1,0.818,0.1500,0.0704,-177.4
492.8195,Fe,1,3.634,0.5280,0.0761,450.3
493.0796,Fe,1,4.607,0.0500,0.0174,946.0
493.2176,Ni,1,3.847,0.3410,0.1821,-350.2
493.2497,Cr,1,5.538,0.0290,0.0531,-350.7
493.6788,Fe,1,3.642,0.0510,0.0448,282.5
493.7208,Ni,1,3.941,0.7220,0.5132,-332.8
493.7718,Cr,1,3.113,0.6090,0.4146,-549.9
493.9108,Ti,1,0.813,0.2570,0.0931,-435.0
493.9348,Fe,1,4.607,0.1990,0.0396,278.1
494.0189,Fe,1,2.8754,0.8660,0.7540,62.8
494.2949,Ti,1,2.16,0.1000,0.0473,-504.5
494.482,Ce,2,1.206,0.0310,0.0255,-506.2
494.528,Nd,2,0.205,0.0340,0.0275,-84.5
494.682,Ni,1,3.796,0.6260,0.4135,-133.2
494.702,Fe,1,4.2089,0.6280,0.3780,-623.1
494.7411,Ni,1,3.7963,0.4010,0.2307,-283.3
494.8401,Nd,2,0.559,0.0360,0.0264,-229.2
494.8991,Si,1,5.082,0.2740,0.1693,-794.7
495.0011,Sm,2,0.544,0.0300,0.0297,-995.2
495.1482,Fe,1,3.417,0.7410,0.5945,47.9
495.2002,Ti,1,1.43,0.0270,0.0448,-898.3
495.3662,Ni,1,3.606,0.2780,0.2919,-417.8
495.5103,Cr,1,3.122,0.0910,0.0590,-558.2
495.5373,Fe,2,5.571,0.0340,0.0341,217.8
495.5683,Fe,1,4.178,0.0230,0.0212,-254.5
495.6193,Cr,1,3.1216,0.6720,0.4304,-726.4
496.2775,Nd,2,0.631,0.0630,0.0336,357.6
496.3955,Fe,1,4.178,0.6810,0.4714,-152.8
496.6105,Ti,1,1.969,0.2210,0.0894,-570.3
496.6316,Cr,1,0.941,0.6110,0.3773,-387.0
496.6556,Ni,1,3.796,0.6450,0.2380,-389.0
496.8186,Cr,1,3.85,0.0770,0.0372,-232.3
496.8906,Ni,1,3.7963,0.2610,0.1435,-102.7
497.1307,Fe,1,4.2176,0.7790,0.5991,-432.5
497.2297,Nd,2,0.321,0.0360,0.0146,231.8
497.4718,Cr,1,5.28,0.0270,0.0719,1174.1
497.7519,Ni,1,3.606,0.5270,0.2750,-76.5
497.7709,Ni,1,1.676,0.5620,0.3727,54.1
498.193,Fe,1,4.186,0.3370,0.0734,-399.2
498.352,Y,2,1.033,0.2730,0.1052,-347.0
498.389,Fe,1,4.1034,0.8520,0.7414,-193.3
498.5241,Fe,1,4.1034,0.8360,0.7151,-15.1
498.5501,Ni,1,3.7963,0.7900,0.6411,-1.4
498.6641,Fe,1,3.9286,0.8190,0.6882,-75.6
498.6941,Fe,1,2.8654,0.8380,0.7152,-401.8
498.7621,Fe,1,4.2176,0.6600,0.4274,-802.7
498.9012,Fe,1,4.178,0.0890,0.0330,-455.9
498.9742,Fe,1,4.638,0.5030,0.0450,-372.3
499.0332,Fe,1,4.154,0.7360,0.6440,304.3
499.1342,Nd,2,0.631,0.1200,0.0726,-326.8
499.4173,Fe,1,4.26,0.1640,0.1005,-303.9
499.4753,Fe,2,2.807,0.5610,0.3524,-926.5
499.6804,Fe,1,4.2605,0.2670,0.1397,-541.5
499.7034,Ni,1,3.635,0.3460,0.1862,472.6
499.7264,Fe,1,4.231,0.1500,0.0290,-224.4
499.7764,Ti,2,1.582,0.3900,0.1092,-364.3
499.8494,Ti,1,0.0,0.5440,0.3059,-537.7
500.6026,Fe,1,4.143,0.0560,0.0231,-215.5
500.6286,Mn,1,2.92,0.2550,0.1288,-83.7
500.6556,Ti,2,1.566,0.3870,0.2121,389.5
500.7106,Fe,1,3.8836,0.8460,0.7347,-5.6
512.9919,V,1,2.286,0.0700,0.0809,-283.3
513.0579,Ti,2,1.892,0.7530,0.5731,124.5
513.0799,Ni,1,3.679,0.6900,0.4820,-326.5
513.202,Nd,2,1.304,0.2570,0.1350,-860.5
513.29,Fe,1,2.2227,0.7990,0.6345,-230.2
513.32,Ni,1,3.699,0.4250,0.3733,-608.4
513.376,Nd,2,0.559,0.1170,0.0834,543.7
513.41,Fe,2,2.807,0.3750,0.2137,-539.3
513.511,Fe,1,4.178,0.8210,0.7602,509.1
513.7521,Fe,1,4.1863,0.3460,0.1927,-387.9
513.8501,Ni,1,1.676,0.8040,0.6775,-46.6
513.8811,Fe,1,4.178,0.7740,0.6889,-39.7
513.9362,Cr,1,3.422,0.0350,0.0221,302.6
514.0892,Fe,1,2.9398,0.8880,0.7990,92.6
514.3173,Fe,1,2.4241,0.8160,0.6541,-255.8
514.4203,Ni,1,3.7058,0.7400,0.5975,482.2
514.4773,Nd,2,0.182,0.0390,0.0441,-1115.8
514.5153,Fe,1,2.1979,0.3930,0.2201,-206.4
514.6103,Cr,1,2.7099,0.2750,0.2040,-769.3
514.7164,Fe,1,3.695,0.0750,0.0466,-126.7
514.7564,Fe,2,2.828,0.3820,0.2742,-1187.7
514.7734,Fe,1,4.371,0.2420,0.1805,10.1
514.7914,Ni,1,3.706,0.7630,0.6086,-83.8
514.8184,Co,1,3.568,0.2570,0.1011,930.2
514.8524,Sc,1,2.146,0.2000,0.1296,-253.5
514.9474,Fe,1,4.283,0.7280,0.5814,-103.5
514.9664,Fe,1,4.256,0.7800,0.6313,-341.9
515.0935,Fe,1,3.943,0.0480,0.0504,-358.0
515.1215,Co,1,1.74,0.0730,0.0881,216.9
515.4666,Cu,1,3.786,0.6490,0.3940,-141.5
515.7796,Co,1,4.058,0.0890,0.0688,-195.0
515.9417,Ni,1,3.606,0.3920,0.1794,-289.4
516.0487,Fe,1,4.283,0.7100,0.5350,197.0
516.4348,Ni,1,3.833,0.1340,0.1162,-741.6
516.6349,Fe,1,4.143,0.2930,0.0992,1496.1
516.6849,Fe,1,4.2204,0.7800,0.5967,-208.4
516.8759,Mg,1,2.709,0.9130,0.8338,383.0
516.8929,Fe,1,1.4848,0.9350,0.8084,-430.3
517.113,Dy,2,0.103,0.0230,0.0236,-717.3
517.246,Ru,1,0.928,0.0220,0.0427,-381.0
517.4121,Mg,1,2.712,0.9330,0.8357,413.5
517.5181,Ti,1,0.0,0.8120,0.6097,-140.6
517.7152,Fe,1,0.087,0.0510,0.0325,944.9
517.8002,Ni,1,3.8983,0.6720,0.4584,-314.9
517.8432,Fe,1,4.638,0.0560,0.0188,-351.3
517.8672,Fe,1,3.694,0.3600,0.2284,52.6
517.8842,Cr,1,3.428,0.3320,0.1761,-651.7
518.0563,Ni,1,3.898,0.2260,0.1224,-562.2
518.7344,Ti,2,1.893,0.7080,0.5254,-145.4
518.7774,Ti,1,2.117,0.1880,0.0778,-660.2
518.7994,Ni,1,3.898,0.2450,0.1663,-257.4
519.0125,Ti,2,1.582,0.8120,0.6855,560.2
519.0285,Ca,1,2.933,0.7600,0.6770,-191.4
519.1025,Ti,1,2.239,0.0950,0.0321,-422.4
519.1235,Mn,1,4.425,0.0220,0.0211,1470.9
519.3436,Cr,1,3.395,0.4490,0.2301,179.5
519.5326,Ti,1,2.345,0.0890,0.0378,-704.0
519.5486,Ti,1,2.1029,0.2120,0.1197,69.6
519.9378,Fe,1,4.301,0.4550,0.3153,-20.2
520.0158,Fe,1,2.2227,0.8350,0.6949,-196.0
520.2528,Ti,1,2.092,0.2440,0.1094,-563.7
520.2728,Mn,1,4.429,0.0400,0.0362,-638.2
520.6399,Fe,1,2.99,0.0370,0.0315,-1410.1
520.717,Y,2,1.033,0.6860,0.4200,101.8
520.825,Fe,1,4.283,0.1230,0.0686,-286.6
520.955,Cr,1,2.709,0.1430,0.1739,887.3
520.988,Cr,1,0.9414,0.9040,0.8569,-166.5
521.004,Fe,1,3.241,0.8330,0.7162,-445.3
521.1331,Fe,1,3.237,0.1850,0.1016,-318.4
521.2981,Ti,2,2.59,0.6080,0.2842,-377.0
521.3271,Co,1,3.952,0.0550,0.0296,259.9
521.4141,Co,1,3.5145,0.2480,0.1344,-620.7
521.4442,Ti,1,2.231,0.0850,0.0252,284.2
521.4792,Fe,1,4.386,0.1590,0.0900,-368.7
521.5262,Fe,1,3.943,0.1440,0.0716,-472.7
521.5582,Cr,1,3.3694,0.3030,0.1580,-291.3
521.7722,Fe,1,1.608,0.8920,0.7518,50.0
521.7922,Ni,1,3.74,0.3820,0.2456,-213.0
521.8843,Fe,1,3.2112,0.8220,0.6923,-266.2
521.9953,Fe,1,4.58,0.0540,0.0327,-625.3
522.4634,Fe,1,3.6352,0.4820,0.2695,-156.2
522.5074,Ti,1,2.092,0.3200,0.1337,-451.6
522.5334,Cr,1,3.648,0.0720,0.0304,-337.1
522.7995,Ti,2,1.566,0.7880,0.6311,-218.6
522.9165,V,2,2.514,0.0310,0.0448,269.5
523.1656,Co,1,1.74,0.4460,0.2316,286.5
523.2426,Ti,1,2.239,0.0730,0.0313,-1025.8
523.7658,Fe,1,4.186,0.5640,0.3018,-308.3
523.7838,Fe,1,4.312,0.1270,0.0807,252.4
523.9288,Cr,1,3.648,0.1040,0.0400,111.6
525.6793,Mn,1,3.133,0.5640,0.2517,-1283.7
525.6963,Nd,2,0.205,0.2410,0.0623,642.4
526.1194,Pr,2,0.633,0.0880,0.0357,317.6
527.4628,Fe,1,3.2918,0.8140,0.6886,23.5
528.1119,Fe,1,3.301,0.1210,0.0547,-126.8
528.1349,Cr,2,4.073,0.2480,0.1712,-614.8
528.1519,Cr,2,4.074,0.1770,0.1171,629.7
528.21,Co,1,3.629,0.3630,0.1495,-471.4
530.2215,Cr,1,0.983,0.7030,0.4922,50.9
530.2785,Fe,1,4.386,0.0660,0.0287,86.5
534.1415,Fe,1,3.2658,0.8420,0.7168,-207.9
534.1936,Cr,1,3.438,0.2480,0.1231,-771.2
534.6247,Cr,1,3.449,0.1390,0.0843,-721.2
534.9187,Ni,1,3.796,0.1150,0.0560,330.5
534.9808,Cr,1,1.004,0.8040,0.6832,-333.1
535.0258,Fe,1,5.064,0.1200,0.0459,-1397.6
535.1578,Zr,2,1.827,0.0510,0.0430,-409.4
535.2558,Ti,1,2.778,0.2380,0.0877,-659.4
535.3539,Co,1,3.576,0.4280,0.1875,-858.4
535.758,Sc,1,1.865,0.0590,0.0261,67.6
535.846,Nd,2,1.264,0.0650,0.0276,-794.4
535.993,Fe,1,5.033,0.0310,0.0136,-835.7
536.041,Co,1,4.146,0.0530,0.0315,-1124.1
536.0681,Co,1,4.149,0.1890,0.0863,7.0
536.7912,Fe,1,5.067,0.0490,0.0574,-466.4
537.5885,Mn,1,5.384,0.0520,0.0214,69.5
537.6265,Fe,1,3.573,0.0750,0.0230,5.3
537.9105,Mn,1,3.844,0.5310,0.3382,-392.4
550.5429,Ti,1,2.578,0.3240,0.1208,-554.0
551.9593,Ti,1,2.408,0.0250,0.0282,982.4
552.0323,Ni,1,4.419,0.0470,0.0230,-755.8
552.2464,Fe,1,5.01,0.0710,0.0810,-177.2
552.3984,Fe,1,4.2089,0.5670,0.3604,-657.7
552.4824,Co,1,2.328,0.1000,0.0659,44.7
552.5785,Fe,1,4.154,0.0780,0.0392,-625.7
552.7385,Fe,1,5.106,0.1460,0.0329,-1007.1
552.8325,Sc,2,1.768,0.7080,0.5673,812.9
552.9936,Mg,1,4.3458,0.8130,0.7729,317.9
553.0436,Fe,1,4.4732,0.2520,0.1444,-735.1
553.0696,Fe,1,3.642,0.2310,0.1383,-519.2
553.1976,Ti,1,3.351,0.0400,0.0875,1315.6
553.2306,Co,1,1.7105,0.1900,0.1023,440.8
553.3197,Fe,1,4.209,0.0310,0.0181,190.9
553.5357,Nd,2,0.559,0.0360,0.0235,-1443.2
553.6387,Fe,2,3.245,0.6180,0.4468,-888.3
553.8118,Fe,1,2.831,0.1370,0.0701,180.7
553.8638,Ni,1,3.847,0.0740,0.0353,496.7
553.9298,Mn,1,2.187,0.3330,0.1945,23.2
554.0058,Fe,1,4.2176,0.5240,0.2997,-651.5
554.0819,Fe,1,3.642,0.2620,0.1496,-341.3
554.1349,Fe,1,4.294,0.1040,0.0568,-151.7
554.615,Y,2,1.738,0.1070,0.0587,-765.8
554.681,Fe,2,2.583,0.0320,0.0218,321.9
554.8041,Fe,1,4.371,0.5390,0.3991,55.8
555.1491,Fe,1,3.694,0.1670,0.0947,-405.5
555.2562,C,1,8.647,0.0460,0.0137,195.4
555.3122,C,1,8.643,0.0270,0.0347,-963.5
555.3322,Fe,1,4.103,0.0610,0.0401,-544.2
555.3522,Mn,1,5.491,0.1620,0.0639,-1283.6
555.3762,Sc,2,1.455,0.0950,0.0449,-35.0
555.4232,Fe,1,4.955,0.0890,0.0711,-596.0
556.1184,Fe,1,4.988,0.1120,0.0673,-401.5
556.1754,Fe,1,4.4347,0.6060,0.4050,-292.6
556.2784,Fe,1,4.607,0.4870,0.0785,-375.9
556.3665,Fe,1,4.387,0.7090,0.0490,-219.6
556.7016,Ti,1,2.236,0.1160,0.1622,129.5
556.7246,Fe,1,4.6076,0.7190,0.5667,-31.9
556.9616,Fe,1,4.154,0.0820,0.0353,-349.7
557.1167,Fe,1,3.417,0.8240,0.7174,-219.2
557.4388,Fe,1,3.3966,0.8440,0.7491,48.4
557.5938,Fe,1,4.415,0.0260,0.0339,-693.7
557.7638,Fe,1,3.4302,0.7950,0.6719,-238.2
557.8579,Fe,1,5.033,0.1730,0.1011,-776.3
557.8889,O,1,1.967,0.0240,0.0319,-422.7
558.0889,Fe,1,4.231,0.1480,0.0841,-331.9
558.6041,V,1,1.064,0.0870,0.0437,-127.6
558.6311,Fe,1,3.573,0.4490,0.2896,87.8
558.6731,V,1,2.359,0.0300,0.0501,-494.4
558.7821,Fe,1,4.638,0.4370,0.0835,-152.6
558.9121,Fe,1,4.143,0.4070,0.2953,-173.0
558.9402,Ni,1,1.935,0.7140,0.4469,128.1
559.0302,Ca,1,2.526,0.8070,0.7752,-67.5
559.2923,Fe,2,3.267,0.0720,0.0477,-1346.9
