Wavl[vac;nm],Elm,Ion,Elow[eV],UnBrCalDep,MeasNormDepth,GaussVelOffset[m/s]
614.6721,Si,1,5.6158,0.3390,0.2516,-574.8
614.7111,Fe,1,3.368,0.0500,0.0349,-859.6
614.7911,Ti,1,1.873,0.0560,0.0347,79.6
615.0962,Fe,2,3.889,0.4270,0.2644,-1086.3
615.1432,Ti,1,2.16,0.0270,0.0210,-1091.4
615.3323,Fe,1,2.176,0.5820,0.3703,-405.3
615.3993,Si,1,5.964,0.2540,0.0298,633.8
615.5933,Na,1,2.1023,0.3590,0.2388,-622.8
615.6833,Si,1,5.6192,0.5390,0.4147,63.8
615.7394,Si,1,5.619,0.0620,0.0491,-66.9
615.7724,Ca,1,2.521,0.1450,0.0773,-640.9
616.2455,Na,1,2.1044,0.4770,0.3605,-506.2
616.3875,Ca,1,1.899,0.7930,0.7875,-6.1
616.5466,Ca,1,2.5212,0.5650,0.4194,-888.5
616.7066,Fe,1,4.1427,0.5140,0.3328,-347.0
616.8147,Ca,1,2.521,0.5990,0.4644,-574.9
617.5038,Fe,1,2.2227,0.6570,0.4813,-33.2
617.7069,Ni,1,4.089,0.5200,0.3464,-12.2
617.7559,S,1,8.046,0.0420,0.0196,-516.4
617.8519,Ni,1,4.088,0.5900,0.4184,-259.9
617.8949,Ni,1,1.826,0.2490,0.1201,-135.3
617.925,Ni,1,4.236,0.0390,0.0238,424.5
618.109,Fe,2,5.569,0.0400,0.0282,84.9
618.15,Fe,1,5.273,0.0950,0.0209,-12.7
618.5271,Fe,1,5.033,0.2600,0.0844,931.2
618.9112,Fe,1,2.832,0.0650,0.0374,-358.8
618.9702,Fe,1,3.943,0.5040,0.3441,-381.8
619.0713,Co,1,1.71,0.1380,0.0649,-216.3
619.2113,Fe,1,5.273,0.1130,0.0286,-125.1
619.2883,Ni,1,1.676,0.6800,0.5072,170.2
619.6134,Si,1,5.871,0.0400,0.0934,-749.3
619.6594,Si,1,5.871,0.0740,0.0165,-1450.2
619.7144,Si,1,5.871,0.2470,0.0938,484.9
619.8685,Fe,1,5.033,0.0430,0.0102,997.0
620.0335,Ni,1,4.266,0.0400,0.0284,-1431.0
620.1225,Fe,1,2.559,0.0620,0.0365,-933.9
620.2026,Fe,1,2.6085,0.6530,0.5044,-48.0
620.6317,Ni,1,4.088,0.3180,0.1711,-114.0
620.9928,Fe,1,5.1,0.2810,0.0287,11.4
621.0258,Si,1,5.984,0.2210,0.0418,855.7
621.2378,Sc,1,0.0,0.0360,0.0423,-1363.4
621.5149,Fe,1,2.2227,0.7030,0.5366,-262.6
621.5589,V,1,0.301,0.0700,0.0481,-631.5
621.94,Fe,1,5.033,0.1290,0.0416,-293.6
622.0671,Cr,1,4.824,0.0500,0.0163,-1160.9
622.1661,Ti,2,2.061,0.1320,0.0326,-404.4
622.1931,Si,1,5.8625,0.1100,0.0727,29.8
622.2191,Ti,1,2.677,0.2000,0.0731,-40.9
622.2501,Fe,1,3.8816,0.2610,0.1386,-344.2
622.3391,Fe,1,0.859,0.0330,0.0189,-1367.8
622.4222,Ca,1,3.91,0.0310,0.0156,961.5
622.5702,Ni,1,4.1054,0.3520,0.2056,-122.2
622.8453,Fe,1,3.883,0.3280,0.2164,-123.1
623.1814,Ni,1,4.105,0.2470,0.1528,-409.7
623.4364,Fe,1,3.654,0.6600,0.5135,-231.0
623.4884,V,1,0.275,0.0670,0.0347,1227.5
623.6205,Ti,2,1.893,0.0900,0.0083,-577.3
623.9046,Si,1,5.614,0.0710,0.3398,-317.3
624.1676,Fe,2,3.889,0.1500,0.0933,-921.8
624.2376,Fe,1,2.2227,0.5670,0.3739,-494.0
624.4557,V,1,0.262,0.1290,0.0732,-828.7
624.4837,V,1,0.301,0.3210,0.2083,-387.8
624.5547,Si,1,5.616,0.2050,0.2791,-586.4
624.5837,Si,1,5.616,0.0340,0.0379,-644.0
668.0644,Co,1,1.956,0.1000,0.0383,1200.2
668.1364,Si,1,6.125,0.0300,0.0174,502.7
668.9337,Fe,1,4.143,0.0410,0.0404,-106.1
669.4118,Fe,1,4.076,0.1880,0.0353,1218.0
670.052,Al,1,3.143,0.0460,0.1313,-421.7
670.099,Fe,1,4.593,0.1230,0.0621,-182.0
670.5421,Fe,1,2.758,0.3870,0.2675,-455.0
670.6331,Fe,1,4.217,0.0790,0.0486,-521.7
670.8142,Ti,1,1.502,0.1140,0.0182,998.9
671.0132,Fe,1,4.988,0.2540,0.0216,846.3
671.2173,Fe,1,1.4848,0.2100,0.1200,-439.1
671.3673,Fe,1,4.956,0.4110,0.0278,-593.2
671.4293,Fe,1,4.988,0.0430,0.0355,83.7
671.5594,Fe,1,4.795,0.2690,0.1445,-274.9
672.3706,Si,1,5.863,0.2719,0.2303,-655.0
672.7207,Fe,1,4.103,0.1980,0.1294,-26.1
672.8527,Fe,1,4.607,0.4790,0.3121,-475.3
673.1588,Cr,1,4.389,0.0380,0.0250,-628.4
673.2148,Fe,1,4.913,0.4970,0.0360,-797.9
673.3919,Fe,1,4.584,0.1110,0.0699,-69.2
673.5009,Fe,1,4.638,0.2690,0.1895,-301.8
673.839,Fe,1,4.294,0.0340,0.0257,-340.5
673.984,Fe,1,4.558,0.2370,0.1577,-86.3
674.1381,Fe,1,1.557,0.0580,0.0929,-260.4
674.1941,Nd,2,0.064,0.0520,0.0184,-949.0
674.3491,Si,1,5.984,0.0817,0.0922,-363.5
674.4981,Ti,1,0.9,0.3010,0.1373,-147.9
674.6952,Fe,1,4.58,0.1100,0.0724,125.7
674.7822,Fe,1,4.076,0.0850,0.0607,-437.3
674.8192,Ti,1,1.887,0.0230,0.0177,1329.5
674.8813,Fe,1,2.608,0.0730,0.0398,-149.7
675.2013,Fe,1,2.4241,0.6420,0.4854,-176.5
675.4564,Fe,1,4.638,0.4090,0.2444,-82.3
675.5324,Fe,1,4.558,0.0870,0.0528,-215.5
676.2526,Fe,1,5.446,0.0300,0.0163,-845.6
676.9638,Ni,1,1.826,0.6440,0.4925,-104.1
677.1509,Fe,1,4.58,0.0370,0.0232,-848.7
677.2899,Co,1,1.883,0.1700,0.1059,222.6
677.4179,Ni,1,3.658,0.4900,0.3300,-66.5
677.668,Si,1,6.099,0.0730,0.0281,-322.2
677.809,Ti,1,3.424,0.0210,0.0195,-891.5
678.2131,Ca,1,3.91,0.0410,0.0210,862.3
678.4362,Ni,1,5.342,0.0420,0.0351,-690.5
678.8303,Fe,1,3.241,0.0560,0.0401,-938.0
678.8733,Fe,1,4.1909,0.3080,0.1712,-418.1
678.9033,Fe,1,5.01,0.2730,0.0146,-177.3
679.2244,Nd,2,0.182,0.0330,0.0180,965.3
679.5135,Fe,1,4.0759,0.1620,0.0962,-533.2
